input_name,accepted_name,source
Abavorana decorata,Abavorana decorata,AmphibiaWeb
Abavorana luctuosa,Abavorana luctuosa,AmphibiaWeb
Abavorana nazgul,Abavorana nazgul,AmphibiaWeb
Acanthixalus sonjae,Acanthixalus sonjae,AmphibiaWeb
Acanthixalus spinosus,Acanthixalus spinosus,AmphibiaWeb
Acris blanchardi,Acris blanchardi,AmphibiaWeb
Acris crepitans,Acris crepitans,AmphibiaWeb
Acris gryllus,Acris gryllus,AmphibiaWeb
Adelastes hylonomos,Adelastes hylonomos,AmphibiaWeb
Adelophryne adiastola,Adelophryne adiastola,AmphibiaWeb
Adelophryne amapaensis,Adelophryne amapaensis,AmphibiaWeb
Adelophryne baturitensis,Adelophryne baturitensis,AmphibiaWeb
Adelophryne glandulata,Adelophryne glandulata,AmphibiaWeb
Adelophryne gutturosa,Adelophryne gutturosa,AmphibiaWeb
Adelophryne maranguapensis,Adelophryne maranguapensis,AmphibiaWeb
Adelophryne meridionalis,Adelophryne meridionalis,AmphibiaWeb
Adelophryne michelin,Adelophryne michelin,AmphibiaWeb
Adelophryne mucronatus,Adelophryne mucronatus,AmphibiaWeb
Adelophryne nordestina,Adelophryne nordestina,AmphibiaWeb
Adelophryne pachydactyla,Adelophryne pachydactyla,AmphibiaWeb
Adelophryne patamona,Adelophryne patamona,AmphibiaWeb
Adelotus brevis,Adelotus brevis,AmphibiaWeb
Adelphobates castaneoticus,Adelphobates castaneoticus,AmphibiaWeb
Adelphobates galactonotus,Adelphobates galactonotus,AmphibiaWeb
Adelphobates quinquevittatus,Adelphobates quinquevittatus,AmphibiaWeb
Adenomera ajurauna,Adenomera ajurauna,AmphibiaWeb
Adenomera albarena,Adenomera albarena,AmphibiaWeb
Adenomera amicorum,Adenomera amicorum,AmphibiaWeb
Adenomera andreae,Adenomera andreae,AmphibiaWeb
Adenomera araucaria,Adenomera araucaria,AmphibiaWeb
Adenomera aurantiaca,Adenomera aurantiaca,AmphibiaWeb
Adenomera bokermanni,Adenomera bokermanni,AmphibiaWeb
Adenomera cantitata,Adenomera cantitata,AmphibiaWeb
