pathogen_type.x,study_id,study_exp_id,publication_year,treatment,trait_type,trait,n_infection_measure,T_time_post,C_time_post,share_animal_ID,share_value_ID,T_cohort_ID,n_T_animals,n_T_replicates,error_T_n,C_cohort_ID,C_prevalence,C_mortality,n_C_animals,n_C_replicates,error_C_n,trait_unit,flag_unit_transformed,error_type,mean_T_trait_initial,error_T_trait,mean_C_trait_initial,error_C_trait,Data_inclusiveness_flag,host_species,AmphibiaWeb_species,family,host_origin,known_sex,life_stage_treated,life_stage_tested,life_stage_matched,Location_post_exposure,lineage,pathogen_virulence,pathogen_origin,pathogen_matched_or_not,pathogen_passage_history,year_isolation,time_interval,SD_T_initial,SD_C_initial,exp_id,T_ID,C_ID
Bd,Adams_et_al_2022,Bd_Adams_et_al_2022_1,2022,live_pathogen,mortality,mortality,NA,21,21,1,1,1,19,19,NA,1,88.23529412,0,20,20,NA,%,FALSE,SE,0,NA,0,NA,FALSE,Rana draytonii,Rana draytonii,Ranidae,wild,yes,adult,adult,SAME,laboratory,unclear,"high (CJB5, CJB7) + low (TST77, CJB4)","Rana sierrae (TST77, CJB4) and Rana muscosa (CJB5, CJB7)",same,unclear,unclear,20,NA,NA,1,1_T_1,1_C_1
Bd,Adams_et_al_2022,Bd_Adams_et_al_2022_1,2022,live_pathogen,prevalence_peak,prevalence,2,15,15,1,2,1,19,19,NA,1,NA,0,17,17,NA,%,FALSE,NA,63.15789474,NA,88.23529412,NA,FALSE,Rana draytonii,Rana draytonii,Ranidae,wild,yes,adult,adult,SAME,laboratory,unclear,"high (CJB5, CJB7) + low (TST77, CJB4)","Rana sierrae (TST77, CJB4) and Rana muscosa (CJB5, CJB7)",same,unclear,unclear,20,NA,NA,1,2_T_1,2_C_1
Bd,Adams_et_al_2022,Bd_Adams_et_al_2022_1,2022,live_pathogen,intensity_peak,intensity,2,15.857143,15.75,1,3,1,14,14,14,1,88.23529412,0,16,16,16,zoospore equivalents,FALSE,SD,31.82071,47.16964,586.2825,795.94058,FALSE,Rana draytonii,Rana draytonii,Ranidae,wild,yes,adult,adult,SAME,laboratory,unclear,"high (CJB5, CJB7) + low (TST77, CJB4)","Rana sierrae (TST77, CJB4) and Rana muscosa (CJB5, CJB7)",same,unclear,unclear,20,47.16964,795.94058,1,3_T_1,3_C_1
Bd,Adams_et_al_2022,Bd_Adams_et_al_2022_2,2022,live_pathogen,mortality,mortality,NA,20,20,1,4,1,10,10,NA,1,100,0,40,40,NA,%,FALSE,SE,0,NA,0,NA,FALSE,Rana draytonii,Rana draytonii,Ranidae,wild,yes,adult,adult,SAME,laboratory,unclear,"high (CJB5, CJB7) + low (TST77, CJB4)","Rana sierrae (TST77, CJB4) and Rana muscosa (CJB5, CJB7)",same,unclear,unclear,332,NA,NA,2,4_T_1,4_C_1
Bd,Adams_et_al_2022,Bd_Adams_et_al_2022_2,2022,live_pathogen,mortality,mortality,NA,20,20,1,4,2,10,10,NA,1,100,0,40,40,NA,%,FALSE,SE,0,NA,0,NA,FALSE,Rana draytonii,Rana draytonii,Ranidae,wild,yes,adult,adult,SAME,laboratory,unclear,"high (CJB5, CJB7) + low (TST77, CJB4)","Rana sierrae (TST77, CJB4) and Rana muscosa (CJB5, CJB7)",same,unclear,unclear,332,NA,NA,2,4_T_2,4_C_1
Bd,Adams_et_al_2022,Bd_Adams_et_al_2022_2,2022,live_pathogen,prevalence_peak,prevalence,3,5,5,1,5,1,9,9,NA,1,NA,0,36,36,NA,%,FALSE,NA,100,NA,100,NA,FALSE,Rana draytonii,Rana draytonii,Ranidae,wild,yes,adult,adult,SAME,laboratory,unclear,"high (CJB5, CJB7) + low (TST77, CJB4)","Rana sierrae (TST77, CJB4) and Rana muscosa (CJB5, CJB7)",same,unclear,unclear,332,NA,NA,2,5_T_1,5_C_1
Bd,Adams_et_al_2022,Bd_Adams_et_al_2022_2,2022,live_pathogen,prevalence_peak,prevalence,3,5,5,1,5,2,9,9,NA,1,NA,0,36,36,NA,%,FALSE,NA,100,NA,100,NA,FALSE,Rana draytonii,Rana draytonii,Ranidae,wild,yes,adult,adult,SAME,laboratory,unclear,"high (CJB5, CJB7) + low (TST77, CJB4)","Rana sierrae (TST77, CJB4) and Rana muscosa (CJB5, CJB7)",same,unclear,unclear,332,NA,NA,2,5_T_2,5_C_1
Bd,Adams_et_al_2022,Bd_Adams_et_al_2022_2,2022,live_pathogen,intensity_peak,intensity,3,6.666667,10.472222,1,6,1,9,9,9,1,100,0,36,36,36,zoospore equivalents,FALSE,SD,762.87,375.79127,2858.02889,3436.01343,FALSE,Rana draytonii,Rana draytonii,Ranidae,wild,yes,adult,adult,SAME,laboratory,unclear,"high (CJB5, CJB7) + low (TST77, CJB4)","Rana sierrae (TST77, CJB4) and Rana muscosa (CJB5, CJB7)",same,unclear,unclear,332,375.79127,3436.01343,2,6_T_1,6_C_1
Bd,Adams_et_al_2022,Bd_Adams_et_al_2022_2,2022,live_pathogen,intensity_peak,intensity,3,9.222222,10.472222,1,6,2,9,9,9,1,100,0,36,36,36,zoospore equivalents,FALSE,SD,831.44889,1279.00743,2858.02889,3436.01343,FALSE,Rana draytonii,Rana draytonii,Ranidae,wild,yes,adult,adult,SAME,laboratory,unclear,"high (CJB5, CJB7) + low (TST77, CJB4)","Rana sierrae (TST77, CJB4) and Rana muscosa (CJB5, CJB7)",same,unclear,unclear,332,1279.00743,3436.01343,2,6_T_2,6_C_1
Bd,Barnett_et_al_2021,Bd_Barnett_et_al_2021_1,2021,natural_chem,mortality,mortality,NA,16,16,48,122,1,16,16,NA,1,86.66666667,6.25,16,16,NA,%,FALSE,NA,12.5,NA,6.25,NA,FALSE,Osteopilus septentrionalis,Osteopilus septentrionalis,Hylidae,wild,no,adult,adult,SAME,laboratory,unclear,low,unclear,same,unclear,unclear,1,NA,NA,1,122_T_1,122_C_1
Bd,Barnett_et_al_2021,Bd_Barnett_et_al_2021_1,2021,natural_chem,mortality,mortality,NA,16,16,48,122,2,14,14,NA,1,86.66666667,6.25,16,16,NA,%,FALSE,NA,0,NA,6.25,NA,FALSE,Osteopilus septentrionalis,Osteopilus septentrionalis,Hylidae,wild,no,adult,adult,SAME,laboratory,unclear,low,unclear,different,unclear,unclear,1,NA,NA,1,122_T_2,122_C_1
Bd,Barnett_et_al_2021,Bd_Barnett_et_al_2021_1,2021,natural_chem,prevalence_other,prevalence,1,16,16,48,123,1,14,14,NA,1,NA,6.25,15,15,NA,%,FALSE,NA,57.14285714,NA,86.66666667,NA,FALSE,Osteopilus septentrionalis,Osteopilus septentrionalis,Hylidae,wild,no,adult,adult,SAME,laboratory,unclear,low,unclear,same,unclear,unclear,1,NA,NA,1,123_T_1,123_C_1
Bd,Barnett_et_al_2021,Bd_Barnett_et_al_2021_1,2021,natural_chem,prevalence_other,prevalence,1,16,16,48,123,2,14,14,NA,1,NA,6.25,15,15,NA,%,FALSE,NA,50,NA,86.66666667,NA,FALSE,Osteopilus septentrionalis,Osteopilus septentrionalis,Hylidae,wild,no,adult,adult,SAME,laboratory,unclear,low,unclear,different,unclear,unclear,1,NA,NA,1,123_T_2,123_C_1
Bd,Barnett_et_al_2021,Bd_Barnett_et_al_2021_1,2021,natural_chem,intensity_other,intensity,1,16,16,48,124,1,8,8,8,1,86.66666667,6.25,13,13,13,# of zoospores ,FALSE,SD,3404.23828,9302.50334,28.98333,59.50239,FALSE,Osteopilus septentrionalis,Osteopilus septentrionalis,Hylidae,wild,no,adult,adult,SAME,laboratory,unclear,low,unclear,same,unclear,unclear,1,9302.50334,59.50239,1,124_T_1,124_C_1
