pathogen_type,study_id,team_id,doi,exp_id,treatment,continent,region_country,latitude,longitude,host_species,family,host_origin,split_clutch,n_T_clutches,n_C_clutches,known_sex,life_stage_treated,life_stage_tested,life_stage_matched,Location_post_exposure,post_pathogen_strain,lineage,pathogen_virulence,pathogen_origin,origin_vs_tested_species,pathogen_passage_history,year_isolation,time_interval,extra_exp_info,note,individual_rawdata
Bd,Adams_et_al_2022,Adams_Grasso,10.1002/ecs2.4294,1,LiveFungi,USA,"California, USA",38.87143427,-123.255463,Rana draytonii,Ranidae,wild,split,unclear,unclear,yes,adult,adult,SAME,laboratory,a mix of four strains: TST77; CJB4; CJB5; CJB7,unclear,"high (CJB5, CJB7) + low (TST77, CJB4)","Rana sierrae (TST77, CJB4) and Rana muscosa (CJB5, CJB7)",different,unclear,unclear,20,Laboratory Experiment 1,"(1) Only the final field experiment reported animals sex. The sex of only some individuals for experiment 1 and 2 can be known by frogID in field study becase they shared some of the focal individuals.
(2) The authors did not explicitly state the life stage of focal individuals, but they said ""96% (1,072) survived to the adult stage"" in the supplementary method, so the life stage was assumed to be 'adult'
(3) Time interval: the treatment last 31 days (method: 20 days for Bd infection + 11 days for clearance) and the post-treatment Bd exposure occurred on Day 51 (see Table 1: Bd exposure 2). Thus, the time interval is 20 days (51-31 days)
(4) While the authors stated that the infection step during the 'infection-clearance' treatment was not successful for 1 of the 19 frogs, the raw data file (Adams_etal_2022_Frog_Lab_Data) indicates that the animal (ID: 89939) was actually infected on 27/2/2017 and later self-cured. Therefore, all 19 individuals can be included in the 'infection-clearance' group. ",yes
Bd,Adams_et_al_2022,Adams_Grasso,10.1002/ecs2.4294,2,LiveFungi,USA,"California, USA",38.87143427,-123.255463,Rana draytonii,Ranidae,wild,split,unclear,unclear,yes,adult,adult,SAME,laboratory,a mix of four strains: TST77; CJB4; CJB5; CJB7,unclear,"high (CJB5, CJB7) + low (TST77, CJB4)","Rana sierrae (TST77, CJB4) and Rana muscosa (CJB5, CJB7)",different,unclear,unclear,332,Laboratory Experiment 2,"(1) Only the final field experiment reported animals sex. The sex of only some individuals for experiment 1 and 2 can be known by frogID in field study becase they shared some of the focal individuals.
(2) The authors did not explicitly state the life stage of focal individuals, but they said ""96% (1,072) survived to the adult stage"" in the supplementary method, so the life stage was assumed to be 'adult'
(3) Time interval: Experiment 1 ended on 14/5/2017 (the final day of post-treatment Bd exposure: 3/5/2017 [see raw data: Adams_etal_2022_Frog_Lab_Data] + 11 days for itraconazole treatment), and Bd re-exposure in Experiment 2 occurred on 11/4/2018 (the first date of Bd detection was 16/4/2018 [see raw data file], based on a 7-day interval). Therefore, the time interval between experiments is 332 days (i.e. 14/5/2017 to 11/4/2018)",yes
Bd,Barnett_et_al_2021,Rohr_McMahon_Civitello,10.1098/rsbl.2021.0207,1,NatChem,USA,"Florida, USA",29.05791317,-83.42374536,Osteopilus septentrionalis,Hylidae,wild,split,unclear,unclear,no,adult,adult,SAME,laboratory,JEL 270 (California strain),unclear,low,unclear,unclear,unclear,unclear,1,NA,NA,"yes, but only one measure per animal throughout the experiment"
Bd,Barnett_et_al_2021,Rohr_McMahon_Civitello,10.1098/rsbl.2021.0207,2,NatChem,USA,"Florida, USA",29.05791317,-83.42374536,Osteopilus septentrionalis,Hylidae,wild,split,unclear,unclear,no,adult,adult,SAME,laboratory,JEL 419 (isolated in Panam‡),unclear,high,unclear,unclear,unclear,2004,1,NA,NA,"yes, but only one measure per animal throughout the experiment"
Bd,Barnett_et_al_2023,Rohr_McMahon_Civitello,10.7589/JWD-D-22-00073,1,NatChem,USA,"Connecticut, USA",42.37990973,-73.10432145,Pseudacris regilla,Hylidae,wild,unclear,unclear,unclear,no,larva,larva,SAME,laboratory,JEL 270 (California strain),unclear,unclear,unclear,unclear,unclear,unclear,1,NA,"(1) Treatment = ""pre-exposure"". (2) Initial sample size = 30 tadpoles per treatment, and any deaths before Bd exposure were excluded, so the number of animals that experienced Bd inoculation should be less than 30. However, the authors did not state the number of animals used to estimate mortality during the Bd exposure period (days 12Ð24).",no
Bsal,Barnhart_et_al_2020,Rollins-Smith_Woodhams,10.1111/acv.12565,1,LiveFungi,USA,"Massachusetts, USA",42.31445305,-71.0419953,Ambystoma maculatum,Ambystomatidae,wild,split,3,3,no,juvenile,juvenile,SAME,laboratory,Bsal ==> unclear ,unclear,unclear,unclear,unclear,unclear,unclear,153,Juvenile Infection Trail II: Control = group (1) previously control on unbleached towels with Bsal (2) previously exposed on unbleached towels with Bsal ,"(1) time_interval = March to July (Figure 1)
(2) eastern newts (Notophthalmus viridescens) --> using a control to test for normal Bsal susceptibility --> not extracted
(3) fire salamanders (Salamandra salamandra) --> using for collection of mucosome (skin bacteria community) --> not extracted 
(4) Do not consider ""Group (3)"" due to no common Bsal exposure environment (i.e. soil) and ""Group (4)"" due to no re-exposure to Bsal",no
Bd,Becker_et_al_2009,Becker_Harris_Walke_Gratwicke_Minbiole,10.1128/AEM.01294-09,1,Probiotics,USA,"Virginia, USA",38.22850387,-79.42349181,Plethodon cinereus,Plethodontidae,wild,split,unclear,unclear,no,adult,adult,SAME,laboratory,JEL310,unclear,unclear,unclear,unclear,unclear,unclear,3,NA,"(1) add Janthinobacterium lividum to the skin, increasing the concentration of violacein (anti-Bd compound) on the skin 
(2) Bd load or Bd prevalence were not reported",no
Bd,Becker_et_al_2011,Becker_Harris_Walke_Gratwicke_Minbiole,10.1007/s10393-012-0743-0,1,Probiotics,USA,"Virginia, USA",37.22850387,-80.42349181,Atelopus zeteki,Bufonidae,captive,split,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,JEL310,unclear,unclear,Smilisca phaeota,different,unclear,unclear,2,NA,"(1) Exposures and culturing of B. dendrobatidis and J. lividum (e.g., time interval and sham procedures for the Bd group that did not receive probiotic treatment) followed the methods described in Harris et al. (2009), The ISME Journal.
(2) Infection rate is not reported.",no
Bd,Becker_et_al_2015,Becker_Harris_Walke_Gratwicke_Minbiole,10.1098/rspb.2014.2881,1,Probiotics,USA,"DC and Maryland, USA",38.92982423,-77.04974149,Atelopus zeteki,Bufonidae,captive,split,unclear,unclear,no,adult,adult,SAME,laboratory,JEL310,unclear,unclear,Smilisca phaeota,different,unclear,unclear,3,NA,"(1) Bd load data were shown by individual infection condition (Fig. 2), but pooled across different probiotic treatments. Bd load was not extracted.",no
Bd,Becker_et_al_2021,Becker_Harris_Walke_Gratwicke_Minbiole,10.1038/s43705-021-00044-w,1,Probiotics,USA,"Maryland, USA",39.32289766,-76.64987398,Atelopus zeteki,Bufonidae,captive,unclear,unclear,unclear,no,juvenile,adult,DIFFERENT,laboratory,JEL423,GPL,high,Hylomantis lemur,different,unclear,unclear,1,NA,"(1) I did not extract the effect of genetically modified Diaphorobacter. sp. (= ""Bd + 63 F:vio"" vs ""Bd"") because ""Bd + 63 F: vio"" frogs underwent BOTH ""antibiotic"" + ""probiotic"", while ""Bd only"" frogs did not undergo either antibiotic or probiotic procedure. Therefore, it is unclear whether any differences between these two groups were due to the manipulation of antibiotics (that remove original microbes) or the addtion of new modified micriobe.
(2) in supplementary material ""60-80 subadult-adult frogsÉ"": life_stage_treated = juvenile, life_stage_Tested = adult
(3) time_interval = 1 days given ""1 day after probiotic treatment = immediately before Bd exposure""",no
Bd,Cashins_et_al_2013,Waddle_Skerratt_Shine_Aquilina_Clulow,10.1371/journal.pone.0056747,1,SynChem,AU,"Queensland, Australia",-19.32436564,146.7602737,Litoria booroolongensis,Hylidae,captive,split,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,AbercrombieNP-L.booroolongensis-09-LB-P7,unclear,unclear, Litoria booroolongensis,same,unclear,unclear,80,NA,"(1) The effect of immunisation: Control = ""Treated"" and treatment = ""inoculated"" in Fig 1
(2) The effect of itraconazole: Control = ""Naive"" and treatment = ""Treated"" in Fig 1
(3) frogs were 6 months old after metamorphosis -> the males usually take 2 years and females takes three years to reach sexual maturation- --> so they were still juvenile",no
Bd,Davidson_et_al_2012,Davidson_Palmer,10.3354/dao02505,1,LiveFungi,USA,"Arizona, USA",33.41983712,-111.9339787,Ambystoma tigrinum,Ambystomatidae,unclear,split,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,Pseudacris triseriata,unclear,unclear,Pseudacris triseriata,different,unclear,unclear,180,Result section: Curing experiments,"(1) This was an accidental discovery when the authors attempted to infect animals for the curing experiment (to assess how different leaf extracts cured Bd-infected animals). The method was not described in detail.
(2) Do not extract data from in vivo experiments (either Eucalyptus camaldulensis or Quercus spp.) because the rearing environment during Bd exposure consistently differed between treatments, meaning there was no common environment for post-treatment Bd exposure.
(3) Do not extract data from the main part of the ÒCuring experimentsÓ because the animals were first infected before the curing treatment, resulting in no post-treatment Bd exposure.
(4) host_origin: the animals were lab-reared, but it is unclear whether they were from wild-caught parents or wild-collected eggs
(5) life_stage = metamorphs = juveniles",no
Bd,Ellison_et_al_2014,Ellison_Zamudio,10.1534/g3.114.010744,1,LiveFungi,USA,"New York, USA",41.44695115,-77.48177852,Atelopus zeteki,Bufonidae,captive,split,1,1,yes,adult,adult,SAME,laboratory,JEL423,GPL,high,Hylomantis lemur,different,unclear,2004 (cryopreserved),30,NA,"(1) The animals were from Langhammer et al. 2013 PLoS One, so most frog info can be found there (i.e., the 10 captive-bred adults for ""pure control"" and ""na•ve-infected"" have experineced a proper shame procedure when the ""survived-infected"" frogs were exposed to JEL-427-P39). (2) Two ""survived-infected"" animals: one had never infected by J-427-P39, one had infected but then fully cleared. (3) time_interval = the time gap between two studies (30 days); (4) sex: all females; (5) the animals seemed the same as those used in ""DiRenzo et al (2014) PLoS One"" (6) Bd loads were pooled across all Bd-exposed animals (i.e. naive-infected + survived-infected), so cannot be extracted.",no
Bd,Greener_et_al_2020,Greener,10.1038/s41467-020-19241-7,1,LiveFungi,EU,"Flanders, Belgium",51.09923685,4.439779314,Alytes obstetricans,Alytidae,captive,split,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,JEL423,GPL,high,unclear,unclear,unclear,unclear,99,Fig 3a. Toads exposed to hypo-virulent Bd (without infected at the start of post-treatment exposure to hyper-virulent BdJEL),"(1) their model included ""sex"" but animal sex was not shown in raw data; 
(2) time_interval = the final measurement date of ""infection"" in Source data_Figure 3 
(3) Only the toads without infection (Load_dec = 0 in ""Reinfection Alytes: loads and survival"") at the start of post-treatment Bd exposure (Time = 0 in ""Reinfection Alytes: loads and survival"") were considered as focal animals
(4) ""Underlying mechanism"" for the protective effect of infection with a low-virulence Bd isolate: a  pathogen-mediated effect (e.g. niche pre-emption or competitive exclusion). The low-virulence strain can colonise the hostÕs skin without causing lethal disease, potentially occupying infection niches or outcompeting the hypervirulent strain during subsequent exposure.
(5) Do not consider another set of BdBE3 experiment (Figure 3b) -> there are infected before post-treatment Bd exposure: see text ""Exposure to BdBE3 resulted in ""infection in ALL animals"" in the absence of mortality and a median peak load of 140 GE (range 14Ð1164 GE).",yes
Bsal,Greener_et_al_2020,Greener,10.1038/s41467-020-19241-7,1,LiveFungi,EU,"Merelbeke, Belgium",51.04685398,3.727373297,Pleurodeles waltl,Salamandridae,unclear,split,unclear,unclear,no,juvenile,juvenile,NA,laboratory,Bsal ==> AMFP18/02,unclear,unclear,unclear,unclear,unclear,unclear,21,Fig 4a,NA,yes
Bsal,Greener_et_al_2020,Greener,10.1038/s41467-020-19241-7,2,LiveFungi,EU,"Merelbeke, Belgium",51.04685398,3.727373297,Salamandra salamandra,Salamandridae,unclear,split,unclear,unclear,no,juvenile,juvenile,NA,laboratory,Bsal ==> AMFP18/02,unclear,unclear,unclear,unclear,unclear,unclear,21,Fig 4b,NA,yes
Bsal,Greener_et_al_2020,Greener,10.1038/s41467-020-19241-7,3,LiveFungi,EU,"Merelbeke, Belgium",51.04685398,3.727373297,Triturus marmoratus,Salamandridae,unclear,split,unclear,unclear,no,juvenile,juvenile,NA,laboratory,Bsal ==> AMFP18/02,unclear,unclear,unclear,unclear,unclear,unclear,21,Fig 4c,NA,yes
