experiment_ID,FrogID,treatgp,treatgp2,date_Bd_expose,date_test,post_time_Bd,ZE
1,89507,2x,reinfected,12/4/2017,3/5/2017,21,5.5
1,89552,1x,naive,12/4/2017,3/5/2017,21,557.33
1,89566,2x,reinfected,12/4/2017,27/4/2017,15,9.33
1,89576,1x,naive,12/4/2017,27/4/2017,15,28
1,89578,2x,reinfected,12/4/2017,27/4/2017,15,2.67
1,89582,2x,reinfected,12/4/2017,27/4/2017,15,5.33
1,89616,1x,naive,12/4/2017,27/4/2017,15,1109.33
1,89629,2x,reinfected,12/4/2017,27/4/2017,15,12
1,89638,2x,reinfected,12/4/2017,27/4/2017,15,10.67
1,89649,1x,naive,12/4/2017,27/4/2017,15,45.33
1,89659,1x,naive,12/4/2017,27/4/2017,15,352
1,89672,2x,reinfected,12/4/2017,27/4/2017,15,18.67
1,89686,1x,naive,12/4/2017,27/4/2017,15,105.33
1,89702,2x,reinfected,12/4/2017,27/4/2017,15,32
1,89706,1x,naive,12/4/2017,27/4/2017,15,162.67
1,89708,1x,naive,12/4/2017,27/4/2017,15,1433.33
1,89749,1x,naive,12/4/2017,27/4/2017,15,61.33
1,89754,2x,reinfected,12/4/2017,27/4/2017,15,32
1,89758,1x,naive,12/4/2017,27/4/2017,15,1470.67
1,89828,2x,reinfected,12/4/2017,3/5/2017,21,5.33
1,89847,1x,naive,12/4/2017,27/4/2017,15,153.33
1,89849,1x,naive,12/4/2017,3/5/2017,21,1.87
1,89852,2x,reinfected,12/4/2017,27/4/2017,15,36
1,89894,2x,reinfected,12/4/2017,27/4/2017,15,61.33
1,89909,1x,naive,12/4/2017,27/4/2017,15,500
1,89936,1x,naive,12/4/2017,27/4/2017,15,2932
1,89939,2x,reinfected,12/4/2017,27/4/2017,15,185.33
1,89976,2x,reinfected,12/4/2017,27/4/2017,15,29.33
1,89997,1x,naive,12/4/2017,27/4/2017,15,453.33
1,89998,1x,naive,12/4/2017,27/4/2017,15,14.67
2,37011,1x,naive,11/4/2018,16/4/2018,5,1950.88
2,37041,1x,naive,11/4/2018,24/4/2018,13,1022.15
2,37052,1x,naive,11/4/2018,1/5/2018,20,17492.47
2,37061,1x,naive,11/4/2018,16/4/2018,5,1160.65
2,37069,1x,naive,11/4/2018,1/5/2018,20,267.17
2,37071,1x,naive,11/4/2018,16/4/2018,5,10212.93
2,37075,1x,naive,11/4/2018,1/5/2018,20,9502.9
2,37087,1x,naive,11/4/2018,16/4/2018,5,2212.12
2,37113,1x,naive,11/4/2018,16/4/2018,5,4143.15
2,37124,1x,naive,11/4/2018,1/5/2018,20,3214.7
2,37144,1x,naive,11/4/2018,24/4/2018,13,2301.38
2,37146,1x,naive,11/4/2018,16/4/2018,5,1390.07
2,37152,1x,naive,11/4/2018,16/4/2018,5,440.1
2,37160,1x,naive,11/4/2018,16/4/2018,5,1144.25
2,37169,1x,naive,11/4/2018,24/4/2018,13,1547
2,37201,1x,naive,11/4/2018,16/4/2018,5,1342.95
2,37202,1x,naive,11/4/2018,16/4/2018,5,1040.57
2,37205,1x,naive,11/4/2018,16/4/2018,5,5565.48
2,37209,1x,naive,11/4/2018,16/4/2018,5,1110.05
2,37222,1x,naive,11/4/2018,1/5/2018,20,3935.75
2,37224,1x,naive,11/4/2018,1/5/2018,20,3928.3
2,37232,1x,naive,11/4/2018,16/4/2018,5,1863.32
2,37244,1x,naive,11/4/2018,16/4/2018,5,5156.23
2,37271,1x,naive,11/4/2018,16/4/2018,5,4647.05
2,37281,1x,naive,11/4/2018,1/5/2018,20,562.27
2,37284,1x,naive,11/4/2018,1/5/2018,20,1246.85
2,37298,1x,naive,11/4/2018,16/4/2018,5,518.32
2,37342,1x,naive,11/4/2018,16/4/2018,5,990.75
2,37366,1x,naive,11/4/2018,1/5/2018,20,4467.55
2,37383,1x,naive,11/4/2018,1/5/2018,20,294.37
2,37400,1x,naive,11/4/2018,16/4/2018,5,207.15
2,37408,1x,naive,11/4/2018,16/4/2018,5,1931.22
2,37417,1x,naive,11/4/2018,24/4/2018,13,1662.38
2,37472,1x,naive,11/4/2018,1/5/2018,20,2864.93
2,37487,1x,naive,11/4/2018,16/4/2018,5,540.7
2,37490,1x,naive,11/4/2018,16/4/2018,5,1010.93
2,89576,2x,reinfected,11/4/2018,16/4/2018,5,842.15
2,89578,3x,reinfected,11/4/2018,16/4/2018,5,275.18
2,89582,3x,reinfected,11/4/2018,1/5/2018,20,103.75
2,89589,3x,reinfected,11/4/2018,16/4/2018,5,1312.3
2,89606,3x,reinfected,11/4/2018,16/4/2018,5,106.3
2,89638,3x,reinfected,11/4/2018,16/4/2018,5,386.23
2,89649,2x,reinfected,11/4/2018,16/4/2018,5,1121.9
2,89654,3x,reinfected,11/4/2018,16/4/2018,5,159.38
2,89663,2x,reinfected,11/4/2018,16/4/2018,5,536.43
2,89686,2x,reinfected,11/4/2018,1/5/2018,20,1257.1
2,89708,2x,reinfected,11/4/2018,16/4/2018,5,869.88
2,89754,3x,reinfected,11/4/2018,16/4/2018,5,862.9
2,89849,2x,reinfected,11/4/2018,16/4/2018,5,255.97
2,89857,3x,reinfected,11/4/2018,24/4/2018,13,211.95
2,89875,2x,reinfected,11/4/2018,16/4/2018,5,209.2
2,89909,2x,reinfected,11/4/2018,16/4/2018,5,670.43
2,89939,3x,reinfected,11/4/2018,1/5/2018,20,4065.05
2,89998,2x,reinfected,11/4/2018,16/4/2018,5,1102.77
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
