FrogID,treatgp,treatgp2,date,ZE
89979,control,control,27/2/2017,0
89682,control,control,27/2/2017,0
89949,control,control,27/2/2017,0
89842,control,control,27/2/2017,0
89510,control,control,27/2/2017,0
89788,control,control,27/2/2017,0
89937,control,control,27/2/2017,0
89955,control,control,27/2/2017,0
89871,control,control,27/2/2017,0
89547,control,control,27/2/2017,0
89744,control,control,27/2/2017,0
89868,control,control,27/2/2017,0
89614,control,control,27/2/2017,0
89718,control,control,27/2/2017,0
89550,control,control,27/2/2017,0
89959,control,control,27/2/2017,0
89802,control,control,27/2/2017,0
89617,control,control,27/2/2017,0
89810,control,control,27/2/2017,0
89654,2x,naive,27/2/2017,20
89629,2x,naive,27/2/2017,976
89611,2x,naive,27/2/2017,72
89589,2x,naive,27/2/2017,40
89702,2x,naive,27/2/2017,70.67
89578,2x,naive,27/2/2017,62.67
89672,2x,naive,27/2/2017,80
89606,2x,naive,27/2/2017,172.5
89857,2x,naive,27/2/2017,180
89582,2x,naive,27/2/2017,388
89828,2x,naive,27/2/2017,317.33
89894,2x,naive,27/2/2017,242.67
89566,2x,naive,27/2/2017,18.67
89939,2x,naive,27/2/2017,54.17
89976,2x,naive,27/2/2017,306.67
89852,2x,naive,27/2/2017,10.67
89507,2x,naive,27/2/2017,9.45
89638,2x,naive,27/2/2017,314.67
89754,2x,naive,27/2/2017,66.95
89979,control,control,6/3/2017,0
89682,control,control,6/3/2017,0
89949,control,control,6/3/2017,0
89842,control,control,6/3/2017,0
89510,control,control,6/3/2017,0
89788,control,control,6/3/2017,0
89937,control,control,6/3/2017,0
89955,control,control,6/3/2017,0
89871,control,control,6/3/2017,0
89547,control,control,6/3/2017,0
89744,control,control,6/3/2017,0
89868,control,control,6/3/2017,0
89614,control,control,6/3/2017,0
89718,control,control,6/3/2017,0
89550,control,control,6/3/2017,0
89959,control,control,6/3/2017,0
89802,control,control,6/3/2017,0
89617,control,control,6/3/2017,0
89810,control,control,6/3/2017,0
89654,2x,naive,6/3/2017,349.33
89629,2x,naive,6/3/2017,2850.67
89611,2x,naive,6/3/2017,1317.33
89589,2x,naive,6/3/2017,157.33
89702,2x,naive,6/3/2017,886.67
89578,2x,naive,6/3/2017,1006.67
89672,2x,naive,6/3/2017,898.67
89606,2x,naive,6/3/2017,881.33
89857,2x,naive,6/3/2017,472
89582,2x,naive,6/3/2017,2105.33
89828,2x,naive,6/3/2017,780
89894,2x,naive,6/3/2017,3804
89566,2x,naive,6/3/2017,346.67
89939,2x,naive,6/3/2017,0
89976,2x,naive,6/3/2017,608
89852,2x,naive,6/3/2017,954.67
89507,2x,naive,6/3/2017,65.33
89638,2x,naive,6/3/2017,3005.33
89754,2x,naive,6/3/2017,3098.67
89979,control,control,13/3/2017,0
89682,control,control,13/3/2017,0
89949,control,control,13/3/2017,0
89842,control,control,13/3/2017,0
89510,control,control,13/3/2017,0
89788,control,control,13/3/2017,0
89937,control,control,13/3/2017,0
89955,control,control,13/3/2017,0
89871,control,control,13/3/2017,0
89547,control,control,13/3/2017,0
89744,control,control,13/3/2017,0
89868,control,control,13/3/2017,0
89614,control,control,13/3/2017,0
89718,control,control,13/3/2017,0
89550,control,control,13/3/2017,0
89959,control,control,13/3/2017,0
89802,control,control,13/3/2017,0
89617,control,control,13/3/2017,0
89810,control,control,13/3/2017,0
89654,2x,naive,13/3/2017,690.67
89629,2x,naive,13/3/2017,2746.67
89611,2x,naive,13/3/2017,837.33
89589,2x,naive,13/3/2017,33.33
89702,2x,naive,13/3/2017,977.33
89578,2x,naive,13/3/2017,926.67
89672,2x,naive,13/3/2017,1028
89606,2x,naive,13/3/2017,2802.67
89857,2x,naive,13/3/2017,274.67
89582,2x,naive,13/3/2017,1960
89828,2x,naive,13/3/2017,1752
89894,2x,naive,13/3/2017,125.33
89566,2x,naive,13/3/2017,97.33
89939,2x,naive,13/3/2017,0
89976,2x,naive,13/3/2017,176
89852,2x,naive,13/3/2017,846.67
89507,2x,naive,13/3/2017,29.33
89638,2x,naive,13/3/2017,6354.67
89754,2x,naive,13/3/2017,1157.33
89979,control,control,27/4/2017,0
89682,control,control,27/4/2017,0
89949,control,control,27/4/2017,0
89842,control,control,27/4/2017,0
89510,control,control,27/4/2017,0
89788,control,control,27/4/2017,0
89937,control,control,27/4/2017,0
89955,control,control,27/4/2017,0
89871,control,control,27/4/2017,0
89547,control,control,27/4/2017,0
89744,control,control,27/4/2017,0
89868,control,control,27/4/2017,0
89614,control,control,27/4/2017,0
89718,control,control,27/4/2017,0
89550,control,control,27/4/2017,0
89959,control,control,27/4/2017,0
89802,control,control,27/4/2017,0
89617,control,control,27/4/2017,0
89810,control,control,27/4/2017,0
89847,1x,naive,27/4/2017,153.33
89663,1x,naive,27/4/2017,0
89708,1x,naive,27/4/2017,1433.33
89649,1x,naive,27/4/2017,45.33
89998,1x,naive,27/4/2017,14.67
89616,1x,naive,27/4/2017,1109.33
89706,1x,naive,27/4/2017,162.67
89849,1x,naive,27/4/2017,0
89576,1x,naive,27/4/2017,28
89686,1x,naive,27/4/2017,105.33
89758,1x,naive,27/4/2017,1470.67
89659,1x,naive,27/4/2017,352
89997,1x,naive,27/4/2017,453.33
89749,1x,naive,27/4/2017,61.33
89909,1x,naive,27/4/2017,500
89936,1x,naive,27/4/2017,2932
89552,1x,naive,27/4/2017,522.67
89654,2x,reinfected,27/4/2017,0
89629,2x,reinfected,27/4/2017,12
89611,2x,reinfected,27/4/2017,0
89589,2x,reinfected,27/4/2017,0
89702,2x,reinfected,27/4/2017,32
89578,2x,reinfected,27/4/2017,2.67
89672,2x,reinfected,27/4/2017,18.67
89606,2x,reinfected,27/4/2017,0
89857,2x,reinfected,27/4/2017,0
89582,2x,reinfected,27/4/2017,5.33
89828,2x,reinfected,27/4/2017,0
89894,2x,reinfected,27/4/2017,61.33
89566,2x,reinfected,27/4/2017,9.33
89939,2x,reinfected,27/4/2017,185.33
