Species,Frog ID,Trial,Group,Date,time_post_Bd,Status,Event,swab_type,Swab,C(t),ge,Z,logZ,initial_Bd_status
Boana gladiator,195.12,2,infected,6-Jul-12,,alive,swab,,195.12.S0,34.53,6.06E-01,48.48,1.694429691,infected_treated
Boana gladiator,195.12,2,infected,18-Jul-12,0,alive,swab,,195.12.S1,Undetermined,,0,0,infected_treated
Boana gladiator,195.12,2,infected,24-Jul-12,6,alive,swab,,195.12.S2,36.86,1.52E-01,12.16,1.119255889,infected_treated
Boana gladiator,195.12,2,infected,31-Jul-12,13,alive,swab,,195.12.S3,Undetermined,,0,0,infected_treated
Boana gladiator,195.12,2,infected,7-Aug-12,20,alive,swab,,195.12.S4,46.67,4.49E-04,0.03592,0.015326218,infected_treated
Boana gladiator,195.12,2,infected,13-Aug-12,26,alive,swab,,195.12.S5,43.44,3.06E-03,0.2448,0.09509958,infected_treated
Boana gladiator,195.12,2,infected,21-Aug-12,34,alive,swab,,195.12.S6,36.49,1.90E-01,15.2,1.209515015,infected_treated
Boana gladiator,195.12,2,infected,25-Aug-12,38,alive,swab,,195.12.S7,37.38,1.12E-01,8.96,0.998259338,infected_treated
Boana gladiator,195.12,2,infected,25-Aug-12,38,dead,end,,,,,,,infected_treated
Boana gladiator,196.12,2,infected,6-Jul-12,,alive,swab,,196.12.S0,Undetermined,,0,0,uninfected_treated
Boana gladiator,196.12,2,infected,18-Jul-12,0,alive,swab,,196.12.S1,Undetermined,,0,0,uninfected_treated
Boana gladiator,196.12,2,infected,24-Jul-12,6,alive,swab,,196.12.S2,44.24,1.90E-03,0.152,0.061452479,uninfected_treated
Boana gladiator,196.12,2,infected,31-Jul-12,13,alive,swab,pre-death,196.12.S3,26.15,87.62,7009.6,3.845755189,uninfected_treated
Boana gladiator,196.12,2,infected,5-Aug-12,18,dead,swab,dead,196.12.S4,Undetermined,,0,0,uninfected_treated
Boana gladiator,196.12,2,infected,5-Aug-12,18,dead,death,,,,,,,uninfected_treated
Boana gladiator,197.12,2,infected,6-Jul-12,,alive,swab,,197.12.S0,Undetermined,,0,0,uninfected_treated
Boana gladiator,197.12,2,infected,18-Jul-12,0,alive,swab,,197.12.S1,Undetermined,,0,0,uninfected_treated
Boana gladiator,197.12,2,infected,24-Jul-12,6,alive,swab,,197.12.S2,Undetermined,,0,0,uninfected_treated
Boana gladiator,197.12,2,infected,31-Jul-12,13,alive,swab,pre-death,197.12.S3,Undetermined,,0,0,uninfected_treated
Boana gladiator,197.12,2,infected,5-Aug-12,18,dead,death,,,,,,,uninfected_treated
Boana gladiator,217.12,2,infected,8-Jul-12,,alive,swab,,217.12.S0,33.11,1.41,112.8,2.056142262,infected_treated
Boana gladiator,217.12,2,infected,18-Jul-12,0,alive,swab,,217.12.S1,Undetermined,,0,0,infected_treated
Boana gladiator,217.12,2,infected,24-Jul-12,6,alive,swab,,217.12.S2,32.59,1.92,153.6,2.18920949,infected_treated
Boana gladiator,217.12,2,infected,31-Jul-12,13,alive,swab,,217.12.S3,38.21,6.82E-02,5.456,0.809963522,infected_treated
Boana gladiator,217.12,2,infected,7-Aug-12,20,alive,swab,,217.12.S4,Undetermined,,0,0,infected_treated
Boana gladiator,217.12,2,infected,13-Aug-12,26,alive,swab,pre-death,217.12.S5,34.38,6.62E-01,52.96,1.732071941,infected_treated
Boana gladiator,217.12,2,infected,19-Aug-12,32,dead,death,,,,,,,infected_treated
Boana gladiator,288.12,2,infected,11-Jul-12,,alive,swab,,288.12.S0,34.02,8.39E-01,67.12,1.833274639,infected_treated
