Species,Code,Group,Death,Status,Pathogen,day_7,day_14,day_21,day_28,day_35,day_42,day_49,day_56,day_63,day_70,day_77,day_84,day_91,day_98,day_105,day_112,day_119,day_126,day_133,day_140,day_147,day_154,day_161,day_168,day_175,day_182,day_189,day_196,day_203,day_210,day_217,day_224,day_231
Salamandra salamandra,V1,bd-bsal,34,Dead,Bsal,NA,NA,NA,0,36,132,968,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V2,bd-bsal,26,Dead,Bsal,NA,NA,NA,0,194,310,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V3,bd-bsal,31,Dead,Bsal,NA,NA,NA,0,183,46,75,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V5,bd-bsal,43,Dead,Bsal,NA,NA,NA,0,0,153,618,133.8,896,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V6,bd-bsal,35,Dead,Bsal,NA,NA,NA,0,0,20,128,1258,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V7,bd-bsal,29,Dead,Bsal,NA,NA,NA,0,20,63,1598,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V8,bd-bsal,57,Dead,Bsal,NA,NA,NA,0,0,52,20,41,73,618,0,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V9,bd-bsal,25,Dead,Bsal,NA,NA,NA,0,1122,556,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V10,bd-bsal,38,Dead,Bsal,NA,NA,NA,0,0,20,364,832,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V21,bsal,22,Dead,Bsal,NA,NA,NA,0,754,418,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V22,bsal,30,Dead,Bsal,NA,NA,NA,0,190,52,1410,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V23,bsal,39,Dead,Bsal,NA,NA,NA,0,0,65,106,692,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V24,bsal,49,Dead,Bsal,NA,NA,NA,0,0,0,21,340,268,67,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V25,bsal,39,Dead,Bsal,NA,NA,NA,0,0,0,256,1808,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V26,bsal,28,Dead,Bsal,NA,NA,NA,0,0,68,352,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V27,bsal,65,Dead,Bsal,NA,NA,NA,0,0,0,104,2,60,486,172,268,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V28,bsal,23,Dead,Bsal,NA,NA,NA,0,268,254,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamandra salamandra,V29,bsal,19,Dead,Bsal,NA,NA,NA,0,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurodeles waltl,P1,bd-bsal,210,Alive,Bsal,NA,NA,NA,0,0,0,0,0,4,9,0,0,7,1,6,0,0,1,0,64,0,0,0,3,0,0,0,0,0,0,0,0,0
Pleurodeles waltl,P2,bd-bsal,210,Alive,Bsal,NA,NA,NA,0,0,2,0,1,19,45,19,1,128,89,23,15,7,1,0,192,0,0,0,0,5,0,0,0,0,10,0,0,3
Pleurodeles waltl,P3,bd-bsal,210,Alive,Bsal,NA,NA,NA,0,0,0,0,0,19,0,1,5,2,143,4,19,26,1,0,184,0,0,0,0,0,0,0,0,0,0,0,5,0
Pleurodeles waltl,P4,bd-bsal,210,Alive,Bsal,NA,NA,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurodeles waltl,P5,bd-bsal,210,Alive,Bsal,NA,NA,NA,0,0,4,13,13,23,0,4,3,8,3,3,0,0,0,13,2,0,1,0,1,0,0,0,0,0,0,0,0,0
