Ind_ID,Isolate,Load_dec,Time,Death,infected_at_beginning
1,BdBE1,34,0,84,yes_excluded
1,BdBE1,718,7,84,yes_excluded
1,BdBE1,188,14,84,yes_excluded
1,BdBE1,34,21,84,yes_excluded
1,BdBE1,80,28,84,yes_excluded
1,BdBE1,940,35,84,yes_excluded
1,BdBE1,70,42,84,yes_excluded
1,BdBE1,206,49,84,yes_excluded
1,BdBE1,1012,56,84,yes_excluded
1,BdBE1,4900,63,84,yes_excluded
1,BdBE1,2340,70,84,yes_excluded
1,BdBE1,95,77,84,yes_excluded
1,BdBE1,0,84,84,yes_excluded
3,BdBE1,0,0,84,focal_animals
3,BdBE1,338,7,84,focal_animals
3,BdBE1,38,14,84,focal_animals
3,BdBE1,21,21,84,focal_animals
3,BdBE1,71,28,84,focal_animals
3,BdBE1,0,35,84,focal_animals
3,BdBE1,50,42,84,focal_animals
3,BdBE1,96,49,84,focal_animals
3,BdBE1,400,56,84,focal_animals
3,BdBE1,0,63,84,focal_animals
3,BdBE1,0,70,84,focal_animals
3,BdBE1,78,77,84,focal_animals
3,BdBE1,0,84,84,focal_animals
4,BdBE1,195,0,57,yes_excluded
4,BdBE1,2100,7,57,yes_excluded
4,BdBE1,1092,14,57,yes_excluded
4,BdBE1,4760,21,57,yes_excluded
4,BdBE1,13680,28,57,yes_excluded
4,BdBE1,3920,35,57,yes_excluded
4,BdBE1,2740,42,57,yes_excluded
4,BdBE1,12600,49,57,yes_excluded
4,BdBE1,3360,56,57,yes_excluded
4,BdBE1,2940,63,57,yes_excluded
5,BdBE1,22,0,37,yes_excluded
5,BdBE1,492,7,37,yes_excluded
5,BdBE1,926,14,37,yes_excluded
5,BdBE1,3560,21,37,yes_excluded
5,BdBE1,3060,28,37,yes_excluded
5,BdBE1,1846,35,37,yes_excluded
5,BdBE1,12400,42,37,yes_excluded
6,BdBE1,0,0,84,focal_animals
6,BdBE1,128,7,84,focal_animals
6,BdBE1,145,14,84,focal_animals
6,BdBE1,0,21,84,focal_animals
6,BdBE1,0,28,84,focal_animals
6,BdBE1,158,35,84,focal_animals
6,BdBE1,74,42,84,focal_animals
6,BdBE1,682,49,84,focal_animals
6,BdBE1,1330,56,84,focal_animals
6,BdBE1,68,63,84,focal_animals
6,BdBE1,1320,70,84,focal_animals
6,BdBE1,456,77,84,focal_animals
