Animal.ID,Treatment,Dosage,Sex,Room.Number,Tank.Number,Day.3,Day.7,Day.10,Day.14,Day.17,Day.21,Day.23,Day.28,Day.30,Day.35,Day.38,Day.42,Day.45,Day.49,Day.52,Day.56,Day.59,Day.63,Day.66,Day.70,Day.73,Day.77,Day.80,Day.84,Day.87,Day.91,Day.95,Day.98,Day.105,Day.112,Day.119,Day.126,Day.135
4988,Control,Control,Male,C1078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8373,Control,Control,Unknown,C1078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5141,Oral,Control,Male,C1078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6133,Oral,Control,Unknown,C1078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7507,Topical,Control,Unknown,C1078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8807,Topical,Control,Male,C1078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4611,Control,High,Female,C1076,1,0,0,0,0,0,53441.7,87224.1,430191,300,991332.3,58618.5,56567.1,27797.4,17296.2,15774.3,0,15261.9,18046.2,52648.8,56848.2,5872.2,0,0,3853.8,8374.8,22670.7,0,62017.2,34296.9,22221.6,15389.1,0,12163.8
5711,Control,High,Male,C1076,4,0,0,0,7745.4,28886.1,440240.4,15896.1,1703634,300,94854,30521.4,74370.9,148611.9,20097.3,79926.3,19057.8,4899.3,75434.1,15765.3,28679.7,56860.5,552304.8,8537.7,79754.1,227970,432303.3,1800,3289170.6,2513622.9,8750867.7,6944253,5278452,1200
6064,Control,High,Male,C1076,4,0,0,0,0,282073.2,2686002.3,300,600,105655.5,300,166460.4,195062.1,44912.7,21065.1,12838.2,0,28325.4,63591.9,28985.7,10883.7,38151.9,18715.2,67604.1,144184.2,19716,278496.9,197340.9,455790.6,404151.9,1500,431848.5,7738362.9,1800
6463,Control,High,Male,C1076,3,0,0,0,9618.6,43030.2,5134.2,155253,1445840.1,900,2100,254246.7,11315.7,22314.3,26640.6,24346.8,32289.6,26044.2,83728.5,55436.7,50972.1,196647,45362.7,30779.1,86754.3,13176.6,56300.4,1500,2634282.9,23595918.9,9156858.3,10456149.6,4588236.9,287345.7
6645,Control,High,Male,C1076,4,0,0,0,0,16919.4,102246.9,20950.2,1399880.1,15732.9,300,83754.9,0,33392.1,10237.5,24447,8879.1,0,22517.7,11770.8,51393.9,101452.5,40048.5,11805.9,31181.7,18027.6,106503,127723.2,6644503.2,249858.9,13425404.4,2191299.3,5734480.8,1800
7818,Control,High,Male,C1076,3,0,0,0,0,74164.8,167878.8,600,3557911.8,900,2700,130829.4,0,210407.7,191566.8,40474.8,391620.9,0,382182.6,112326.9,45935.1,7957.2,60086.1,69209.4,103608,33128.1,192035.1,600,16819361.7,8077814.1,2486904,5632461.9,7012038.3,900
5173,Oral,High,Male,C1076,2,0,0,0,7761.6,0,22013.4,7618846.8,2568143.1,141411.3,300,300,84195.6,28990.5,43605.9,89116.2,115935.3,900,367267.2,199538.4,135321.6,209577.3,343075.8,252137.7,149760,122670.9,66222.9,177533.1,487626.9,127193.4,454840.5,236573.7,389610,232747.2
5534,Oral,High,Male,C1076,1,0,0,0,0,0,77328.9,83516.1,40905,300,900,128627.1,30559.5,39437.1,25760.1,0,5935.2,5180.7,14151.9,0,51504.6,43485.9,581193.6,10752.3,44675.7,0,0,0,0,27486.3,5976,0,9873,0
5772,Oral,High,Male,C1076,2,0,0,0,0,14955.9,134778.6,40147.5,4388225.7,229704.3,3000,900,469614,163101.9,6917.1,96922.5,91716.6,27018.9,160455.9,300,20541.3,300,686786.4,900,1718150.1,17300.4,362939.4,20672.7,6647.1,949226.1,6653262.9,7557198.6,12545490.3,4500
5775,Oral,High,Female,C1076,1,0,0,0,10563.9,42573.3,10475.7,618267,402130.8,4500,3600,3300,424676.1,64072.5,9311.7,6574.2,40566,248036.4,23627.1,40512.6,183210.6,300,288317.1,91193.7,7192.5,24907.8,19639.5,0,290135.7,30663,22286.4,11736.3,18496.8,0
6267,Oral,High,Male,C1076,4,0,0,0,45385.5,128057.4,680873.4,12801,379044.9,263376,300,299036.7,97986,60766.2,13529.1,19965.6,57270.6,79123.2,130724.7,23601,142846.8,13185.6,5550,33456.9,216477.3,300,118388.1,,35044490.7,20903160.9,15562469.4,3221644.2,9000,300
6406,Oral,High,Male,C1076,1,0,0,0,0,50574,168489.3,271801.8,2325371.7,600,97547.4,58745.4,0,71012.1,21049.2,47333.7,171648,64667.4,0,0,0,28999.2,7130.4,41223.6,0,0,0,0,34084.8,0,25296,8937,0,0
6428,Oral,High,Female,C1076,3,0,0,0,0,0,5450.1,13751.1,344200.5,0,82290.3,262528.8,0,96637.2,69585.6,210139.5,84342.3,120721.2,0,9279.6,41959.2,24033.3,41801.1,31303.5,12351.9,75326.7,586176.9,3300,537409.5,706850.1,8282181,458952.3,90309.9,32493.6
6657,Oral,High,Female,C1076,2,0,0,0,0,15839.7,53200.8,14249.4,620320.2,300,80347.8,48364.2,71804.1,140214,0,0,22922.7,0,78179.1,7542.9,57360.3,208599.9,0,300,739504.5,121642.2,16361873.4,900,10236104.4,5252129.4,4483794.3,3905946.9,127973.1,188604
7447,Oral,High,Female,C1076,1,0,0,0,12202.2,0,139707.6,1200,302268.3,2100,11400,600,1677101.4,811790.4,662328.9,4104.6,818575.8,300,452986.2,38927.4,5495.1,44971.2,140428.2,37496.7,56466,10812.3,41443.8,10752.9,132367.8,42040.2,46341.6,35392.8,19515.3,55013.1
7481,Oral,High,Female,C1076,4,0,0,0,20462.7,0,345120.3,300,1097118,3600,300,300,177464.1,25476,22231.8,300,196091.4,110029.8,63864.3,21657,18117.9,26008.5,6804.9,32980.8,110442.6,9358.5,54036.3,241527.6,1569040.5,645515.1,18272529,21769504.8,16518105.6,2700
7738,Oral,High,Female,C1076,1,0,0,0,10676.1,0,56390.7,32409,50033.7,300,600,12141,324700.2,119890.5,7148.7,15108.6,0,0,19036.5,26603.7,0,79235.7,0,6752.1,25181.1,8285.4,17030.7,0,35748.6,19242,22144.2,0,26327.1,15883.5
7763,Oral,High,Male,C1076,2,0,0,0,11039.7,0,61522.5,274218,700997.1,1500,2400,300,162579.6,168940.2,5799.9,0,0,1278.3,11281.5,43163.4,52508.1,210961.2,622555.8,75561.9,91626.3,3900,3138148.2,600,14935279.8,619696.2,4627283.1,1427531.4,228043.2,300
8024,Oral,High,Female,C1076,2,0,0,0,0,0,369145.5,300,797349,2100,1500,300,159824.4,14789.1,0,18548.7,176357.7,194640.9,141382.8,34460.7,17043,189360.9,396939.3,1800,2708208.3,2700,135616.5,3300,1089563.1,5177777.4,7142726.4,2100,1217173.8,1800
1213,Topical,High,Male,C1076,1,0,0,0,6857.4,0,1248033.9,238565.1,4845595.2,4500,137939.7,600,165863.4,8704.8,60745.8,41307.9,17094.6,95309.4,0,84677.4,32006.1,56538.3,364339.5,74283.3,11589.3,0,17986.8,0,133329,35699.7,22280.4,46841.1,47202.9,0
4921,Topical,High,Male,C1076,2,0,0,0,0,0,33077.4,44870.1,622026.9,122672.4,925935.6,226135.5,127750.2,157649.7,19425.6,55263.6,9698.7,83696.7,0,26508.3,125514.9,300,116037.9,900,259600.5,300,4600659.6,8700,2812632.3,726300.6,1337362.2,1019466.3,3897994.8,189589.8
6172,Topical,High,Female,C1076,3,0,0,0,0,8938.8,48616.8,93842.4,981306,300,600,106278.9,63926.4,71744.1,64293,115089.3,70026,11045.1,58291.5,94520.4,25017.9,7327.2,177450,8617.2,39249.6,69706.5,73108.2,1200,892862.1,794767.8,41468690.7,31373662.5,27290620.2,39300
6430,Topical,High,Male,C1076,3,0,0,0,0,0,4766.1,0,24898.5,15752.4,900,300,600,52154.1,6579.3,18227.7,15138,11078.7,15176.4,24328.2,27632.1,78091.8,27444.6,72705.9,0,0,43791.9,130039.8,990266.7,1890658.5,11080800,19366224.6,8047171.8,900
6640,Topical,High,Male,C1076,3,0,0,0,0,107521.8,19064.4,45982.2,165184.5,68760.9,1500,128655.9,300,7478.7,0,83739.9,63364.8,171509.1,373163.1,96034.5,0,9461.4,0,17698.8,40938.6,0,9895.2,217567.5,1498323.3,900189.6,2174397.6,3528522.6,7222471.8,600
6932,Topical,High,Female,C1076,4,0,0,0,65130.6,0,0,31173,9328.8,5256.9,86199.9,61345.2,48025.8,88355.1,0,0,0,0,12008.1,0,0,0,0,12339.9,44909.1,,,,,,,,,
7316,Topical,High,Male,C1076,1,0,0,0,0,0,10200,45043.2,405695.1,237363.9,1200,68978.7,7834.5,50166,5313.3,14077.2,6025.8,0,177972,300,130431,109146.9,5538.9,9519,118714.5,0,9789.9,0,15786,30015.3,30514.5,169989,16454.1,0
7629,Topical,High,Male,C1076,4,0,0,0,0,0,9303,7909.8,214960.8,900,31183.2,0,0,19864.5,15891.3,29267.4,84999.6,11618.7,0,29595.9,30318,10759.8,22682.4,10981.8,25646.4,76762.2,2080023.6,3300,51825131.4,32607332.7,45320737.5,13536549.6,74712881.4,8400
