Tub,Frog,Stage,Atrazine_or_not,Metyrapone_or_not,BD_Treatment,BD_abundance,BodyMass,SnoutVentLength,GutMass,PD,Shannon,Observed OTUs,Equitability
2,1,Adult,Solvent,Metyrapone,Control,0,0.493,24.1,0.075,69.443,6.001,823,0.62
2,2,Adult,Solvent,Metyrapone,Bd,1566.591644,0.266,17.7,0.049,51.594,5.606,690.1,0.594
3,2,Adult,Solvent,Metyrapone,Control,0,0.652,25.5,0.158,71.647,6.95,948.75,0.703
8,2,Adult,Atrazine,Solvent,Control,0,0.431,17.6,0.048,40.934,5.653,591.9,0.614
8,1,Adult,Atrazine,Solvent,Bd,10009.49631,0.282,24.2,0.141,70.226,7.013,942.25,0.71
8,3,Adult,Atrazine,Solvent,Bd,0,0.707,17.6,0.05,68.489,7.154,903.1,0.729
9,1,Adult,Atrazine,Solvent,Control,0,0.612,19.6,0.054,80.56,7.328,1095.95,0.726
9,2,Adult,Atrazine,Solvent,Bd,0,0.685,21.8,0.066,58.009,6.312,793.8,0.655
12,1,Adult,Solvent,Solvent,Control,0,0.534,23.4,0.098,68.497,6.261,826.95,0.646
12,3,Adult,Solvent,Solvent,Control,0,0.771,18.4,0.028,47.183,5.561,582.85,0.605
13,1,Adult,Atrazine,Metyrapone,Bd,0,0.649,24,0.115,72.515,8.07,1151.7,0.794
14,5,Adult,Atrazine,Solvent,Control,0,0.261,19.2,0.079,76.423,6.303,996.05,0.633
14,3,Adult,Atrazine,Solvent,Control,0,0.764,22.9,0.073,55.67,3.894,575.95,0.425
14,1,Adult,Atrazine,Solvent,Bd,0,0.522,19.5,0.035,34.86,4.434,416.1,0.51
14,4,Adult,Atrazine,Solvent,Bd,0,0.144,22.5,0.073,66.79,6.201,855.7,0.637
15,2,Adult,Solvent,Metyrapone,Bd,0,0.535,18.9,0.047,80.45,6.749,968.45,0.68
16,1,Adult,Atrazine,Solvent,Control,0,0.713,NA,0.142,78.128,7.17,1040.2,0.715
16,2,Adult,Atrazine,Solvent,Bd,0,0.475,16.6,0.048,51.967,4.341,586.05,0.472
17,1,Adult,Solvent,Metyrapone,Bd,0,0.607,25.7,0.145,68.389,7.45,1021,0.745
17,5,Adult,Solvent,Metyrapone,Bd,0,0.245,NA,0.024,63.942,6.233,838.35,0.642
18,2,Adult,Atrazine,Metyrapone,Bd,153.5137087,0.758,21,0.061,71.602,7.006,992.25,0.704
20,3,Adult,Solvent,Solvent,Control,0,0.172,14.7,0.045,38.85,4.814,558.85,0.528
20,2,Adult,Solvent,Solvent,Bd,0,0.346,18.8,0.028,34.293,1.986,251.6,0.249
22,2,Adult,Solvent,Solvent,Bd,250.2953053,0.562,23.5,0.106,65.945,7.077,931.95,0.717
22,4,Adult,Solvent,Solvent,Bd,0,0.639,23.7,0.101,49.558,5.652,658.8,0.604
22,3,Adult,Solvent,Solvent,Control,0,0.49,20.4,0.066,56.763,6.317,819.15,0.653
26,2,Adult,Atrazine,Metyrapone,Control,0,0.345,20,0.071,66.226,5.96,839.8,0.614
27,2,Adult,Solvent,Metyrapone,Control,0,0.504,17.8,0.036,65.677,6.131,772.25,0.639
28,1,Adult,Atrazine,Solvent,Control,0,0.628,21.9,0.121,42.395,4.482,526.45,0.496
28,2,Adult,Atrazine,Solvent,Bd,0,0.548,24.4,0.17,77.388,6.823,931.75,0.692
29,2,Adult,Atrazine,Solvent,Bd,8123.212051,0.685,22.2,0.085,45.024,4.4,539.15,0.485
29,1,Adult,Atrazine,Solvent,Control,0,0.822,26.2,0.159,65.873,7.301,1010.35,0.732
30,2,Adult,Solvent,Solvent,Bd,0,0.769,23.1,0.093,66.687,6.815,919.3,0.692
30,6,Adult,Solvent,Solvent,Bd,2259.472561,0.741,19.9,0.054,76.419,6.982,998.6,0.701
30,1,Adult,Solvent,Solvent,Control,0,0.462,19.7,0.041,38.799,5.888,508.7,0.655
30,3,Adult,Solvent,Solvent,Control,0,0.653,23.2,0.101,73.618,6.306,932.5,0.639
33,3,Adult,Atrazine,Metyrapone,Control,0,0.582,23.5,0.105,76.196,7.49,1092.65,0.742
33,2,Adult,Atrazine,Metyrapone,Control,0,0.483,19.1,0.049,67.733,6.327,827.65,0.653
33,1,Adult,Atrazine,Metyrapone,Bd,0,0.648,22.4,0.126,67.461,6.539,972.15,0.659
34,3,Adult,Solvent,Solvent,Bd,3825.746536,0.537,26.1,0.122,65.493,6.497,908.75,0.661
34,1,Adult,Solvent,Solvent,Control,0,0.503,19.5,0.048,70.345,6.495,870.2,0.665
36,1,Adult,Atrazine,Solvent,Control,0,0.36,17,0.017,37.295,4.925,479.55,0.553
38,4,Adult,Solvent,Solvent,Bd,1706.419373,0.697,24.2,0.098,65.661,6.688,967.7,0.674
38,3,Adult,Solvent,Solvent,Control,0,0.684,23.9,0.117,64.895,6.135,815,0.634
39,1,Adult,Solvent,Solvent,Control,0,0.492,21.1,0.064,81.403,7.432,1124.2,0.733
39,2,Adult,Solvent,Solvent,Bd,5570.169067,0.466,19.9,0.072,82.449,7.158,1040.55,0.714
39,3,Adult,Solvent,Solvent,Control,0,0.744,22.2,0.073,52.775,3.427,507.35,0.381
42,1,Adult,Atrazine,Solvent,Control,0,0.556,24.9,0.088,41.941,3.398,388.85,0.395
42,3,Adult,Atrazine,Solvent,Bd,0,0.732,22.9,0.066,54.833,4.625,642.45,0.496
42,4,Adult,Atrazine,Solvent,Control,0,0.977,18.7,0.055,50.467,6.069,556.35,0.665
