Tub,Atrazine_or_not,Metyrapone_or_not,Tadpole_BodyMass,Tadpole_SnoutVentLength,GosnerStage,Tadpole_GutMass,Tadpole_PhylogeneticDiversity,Tadpole_Shannon,Tadpole_OTUs,Tadpole_Equitability,Tadpole_LnCORT_Mass,Bd_Treatment_Exp,Tadpole_BdAbundance,Tadpole_BdIntensity,Adult_PhylogeneticDiversity,Adult_Shannon,Adult_OTU,Adult_Equitability,Adult_BodyMass,Adult_SnoutVentLength,Adult_Gutmass,BD_Treatment,BD_Abundance_Control,BD_Treatment_Exp,BD_Abundance_Exp,BD_Intensity
1,Solvent,Metyrapone,0.365,12.78,31,0.0466,79.94,5.75,923.1,0.584,7.416,Bd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Solvent,Metyrapone,0.611,15.1,38,0.0916,90.813,7.617,1205,0.744,7.546,Bd,0,NA,60.518,5.803,756.55,0.607,0.38,20.9,0.062,Control,0,Bd,1566.59,1566.59
3,Solvent,Metyrapone,0.729,16.8,41,0.093,79.879,6.535,947.55,0.661,8.055,Bd,0,NA,71.647,6.95,948.75,0.703,0.652,25.5,0.158,Control,0,NA,NA,NA
4,Atrazine,Metyrapone,0.317,12.85,32,0.0426,73.713,6.318,948.95,0.639,8.296,Bd,312.35,312.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Solvent,Metyrapone,0.602,16.11,41,0.0843,91.201,7.725,1273.5,0.749,7.557,Bd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Atrazine,Metyrapone,0.604,15.6,38,0.1058,101.809,7.853,1328.5,0.757,7.929,Bd,1808.84,1808.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Atrazine,Metyrapone,0.575,15.75,39,0.0846,102.534,7.255,1323.45,0.7,7.795,Bd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Atrazine,Solvent,0.568,15.3,37,0.09,76.407,6.039,902.05,0.615,7.529,Bd,0,NA,59.883,6.607,812.42,0.684,0.473,19.8,0.08,Control,0,Bd,5004.7,5004.7
9,Atrazine,Solvent,0.256,12.02,29,0.0283,53.68,5.598,830.2,0.577,8.144,Bd,0,NA,69.284,6.82,944.88,0.691,0.649,20.7,0.06,Control,0,Bd,0,NA
10,Atrazine,Metyrapone,0.663,17,39,0.0937,76.841,7.351,1132.6,0.725,6.916,Bd,3659.81,3659.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Atrazine,Metyrapone,0.408,14.49,29,0.0748,91.152,7.116,1149.7,0.7,7.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Solvent,Solvent,0.609,16.1,34,0.0788,78.366,6.542,973.6,0.659,7.259,NA,NA,NA,57.84,5.911,704.9,0.626,0.653,20.9,0.063,Control,0,NA,NA,NA
13,Atrazine,Metyrapone,0.624,16.1,40,0.0664,83.844,6.648,991.45,0.668,7.531,NA,NA,NA,72.515,8.07,1151.7,0.794,0.649,24,0.115,NA,NA,Bd,0,NA
14,Atrazine,Solvent,0.603,16.05,40,0.081,106.959,8.24,1451.95,0.785,7.952,NA,NA,NA,58.436,5.208,710.95,0.551,0.423,21.03,0.065,Control,0,Bd,0,NA
15,Solvent,Metyrapone,0.46,15.39,32,0.0716,69.255,7.128,1007.75,0.714,6.638,Bd,6336.77,6336.77,80.45,6.749,968.45,0.68,0.535,18.9,0.047,NA,NA,Bd,0,NA
16,Atrazine,Solvent,0.505,15.8,34,0.08,69.048,5.691,810.35,0.589,8.72,Bd,15552.95,15552.95,65.048,5.756,813.13,0.594,0.594,16.6,0.095,Control,0,Bd,0,NA
17,Solvent,Metyrapone,0.545,15.75,32,0.1043,101.682,7.929,1319.1,0.765,7.047,Bd,0,NA,66.165,6.841,929.68,0.694,0.426,25.7,0.085,NA,NA,Bd,0,NA
18,Atrazine,Metyrapone,0.538,15.6,32,0.0803,96.05,7.585,1276.05,0.735,6.846,Bd,7930.37,7930.37,71.602,7.006,992.25,0.704,0.758,21,0.061,NA,NA,Bd,153.51,153.51
19,Solvent,Metyrapone,0.438,14,29,0.0564,74.988,6.592,965.35,0.665,6.68,Bd,968.19,968.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Solvent,Solvent,0.61,16.39,41,0.1045,91.567,6.584,1067.05,0.655,7.55,Bd,35079.06,35079.06,36.571,3.4,405.23,0.388,0.259,16.75,0.036,Control,0,Bd,0,NA
21,Solvent,Metyrapone,0.514,15.4,32,0.1172,100.935,6.84,1254.35,0.665,7.635,Bd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
