IndividualID,Date,Experiment1,Experiment2,Experiment3,Phase,Phase2,DPI,Sex,Weight_with_bag,BdLoad_1_Capture,BdLoad,BsalLoad,Shedding_coded,Shedding,Crickets,Other,Death,Death_revised,Death_censor,Complete_Experiment1,DiedExp1,BdExposed
FS1,16-Jun,CONTROL_noitraconazole,control,CONTROL_noitraconazole,1_Capture,1_Capture,0,NA,NA,196.63,196.63,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS10,16-Jun,Bd_Bsal,None,None,1_Capture,1_Capture,0,NA,NA,379.04,379.04,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,yes
FS11,16-Jun,Bd_BsalLater,None,None,1_Capture,1_Capture,0,NA,NA,2261.44,2261.44,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS12,16-Jun,Bd_BsalLater,None,None,1_Capture,1_Capture,0,NA,NA,27.8,27.8,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,yes
FS13,16-Jun,Bsal_BdLater,None,None,1_Capture,1_Capture,0,NA,NA,293.45,293.45,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS14,16-Jun,Bsal_BdLater,None,None,1_Capture,1_Capture,0,NA,NA,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
FS15,16-Jun,Bd_ONLY,None,None,1_Capture,1_Capture,0,NA,NA,2763.1,2763.1,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS16,16-Jun,Bsal_ONLY,None,None,1_Capture,1_Capture,0,NA,NA,6.7,6.7,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,yes
FS17,16-Jun,Bd_Bsal,None,None,1_Capture,1_Capture,0,NA,NA,2071.6,2071.6,0,notvisible,NA,NA,NA,NA,,0,No,NA,yes
FS18,16-Jun,Bd_BsalLater,None,None,1_Capture,1_Capture,0,NA,NA,178.5,178.5,0,notvisible,NA,NA,NA,NA,,0,No,NA,yes
