Time_post_Bd,Frogid,Treatment,probiotic,post_treatment_Bd,exp_id,Mass (g),Mortality,RichnessMean,RichnessSD,InvSimpMean,InvSimpSD,Bd_status
1,16,2,sham,yes,unwashed,0.15,alive,57.33,4.696990225,4.153786982,0.04578193,control
1,28,2,sham,yes,unwashed,0.2,alive,59.44,4.276598289,6.99146074,0.055429596,control
1,4,2,sham,yes,unwashed,0.17,alive,60.71,4.224256554,5.573458969,0.063868285,control
1,51,2,sham,yes,unwashed,0.24,alive,67.12,4.288297442,3.570090353,0.0404669,control
1,9,2,sham,yes,unwashed,0.22,alive,64.44,4.837396411,7.128721558,0.076405177,control
1,17,2,sham,yes,unwashed,0.26,alive,71.45,4.353971831,5.364067416,0.064153595,control
1,27,2,sham,yes,unwashed,0.39,alive,53.21,3.880266054,3.512023053,0.028474425,control
1,43,2,sham,yes,unwashed,0.58,alive,92.25,6.552623039,5.363301797,0.054193493,control
1,96,4,sham,yes,washed,0.26,alive,,,,,control
1,114,4,sham,yes,washed,0.26,alive,62.09,4.566224265,3.538323781,0.048637131,control
1,120,4,sham,yes,washed,0.23,alive,,,,,control
1,107,4,sham,yes,washed,0.39,alive,,,,,control
1,58,4,sham,yes,washed,0.43,alive,52.29,4.102955328,1.978314368,0.020522048,control
1,102,4,sham,yes,washed,0.49,alive,130.09,6.042099775,5.447598703,0.07562159,control
1,101,4,sham,yes,washed,0.46,alive,68.5,4.509249753,3.652780455,0.037696105,control
1,113,4,sham,yes,washed,0.66,alive,,,,,control
1,22,6,mutant_SM,yes,unwashed,0.25,alive,60.96,4.317968097,4.015505487,0.045968144,control
1,52,6,mutant_SM,yes,unwashed,0.32,alive,54.02,4.373889469,2.969557952,0.040202416,control
1,56,6,mutant_SM,yes,unwashed,0.35,alive,77.13,5.23518593,4.855277965,0.061438533,control
1,44,6,mutant_SM,yes,unwashed,0.57,alive,,,,,control
1,40,6,mutant_SM,yes,unwashed,0.65,alive,73.01,5.963686407,5.184422781,0.063375314,control
1,77,8,mutant_SM,yes,washed,0.25,alive,,,,,control
1,95,8,mutant_SM,yes,washed,0.39,alive,,,,,control
1,115,8,mutant_SM,yes,washed,0.44,alive,82.49,6.923091211,5.202765868,0.049984893,control
1,82,8,mutant_SM,yes,washed,0.45,alive,82.56,5.330150565,4.675659576,0.049228018,control
1,103,8,mutant_SM,yes,washed,0.48,alive,,,,,control
1,109,8,mutant_SM,yes,washed,0.62,alive,67.74,4.48481163,3.841263575,0.038336642,control
1,75,8,mutant_SM,yes,washed,0.41,alive,59.43,4.399850778,7.734051875,0.077004641,control
1,41,10,WT_SM,yes,unwashed,0.22,alive,67.7,4.852365871,4.083078194,0.043536586,control
1,36,10,WT_SM,yes,unwashed,0.24,alive,42.64,4.03399694,3.155424445,0.038510385,control
1,2,10,WT_SM,yes,unwashed,0.26,alive,52.82,4.797684627,6.620132968,0.058898095,control
1,3,10,WT_SM,yes,unwashed,0.21,alive,67.86,4.813742952,4.940952419,0.065099268,control
1,15,10,WT_SM,yes,unwashed,0.29,alive,50.93,4.05331888,5.868425753,0.077747849,control
1,62,10,WT_SM,yes,unwashed,0.31,alive,59.07,4.023303331,5.997467664,0.059825541,control
1,47,10,WT_SM,yes,unwashed,0.4,alive,72.52,4.92669496,6.072825361,0.064751469,control
1,48,10,WT_SM,yes,unwashed,0.46,alive,41.11,4.218513789,4.134760897,0.034532256,control
1,99,12,WT_SM,yes,washed,0.2,alive,90.3,4.700096711,5.899294634,0.07381686,control
1,98,12,WT_SM,yes,washed,0.28,alive,63.73,4.378217432,2.954493953,0.039945812,control
1,110,12,WT_SM,yes,washed,0.4,alive,,,,,control
1,108,12,WT_SM,yes,washed,0.44,alive,75.76,5.390076928,4.4664772,0.052830534,control
1,112,12,WT_SM,yes,washed,0.42,alive,,,,,control
1,76,12,WT_SM,yes,washed,0.54,alive,,,,,control
1,111,12,WT_SM,yes,washed,0.41,alive,,,,,control
1,55,12,WT_SM,yes,washed,0.54,alive,49.25,4.374801583,4.943543297,0.054979494,control
2,28,2,sham,yes,unwashed,,dead,,,,,
2,27,2,sham,yes,unwashed,,alive,,,,,
2,4,2,sham,yes,unwashed,,alive,,,,,
2,9,2,sham,yes,unwashed,,alive,,,,,
2,16,2,sham,yes,unwashed,,alive,,,,,
2,43,2,sham,yes,unwashed,,alive,,,,,
2,51,2,sham,yes,unwashed,,alive,,,,,
2,17,2,sham,yes,unwashed,,alive,,,,,
2,101,4,sham,yes,washed,,alive,,,,,
2,96,4,sham,yes,washed,,dead,,,,,
2,58,4,sham,yes,washed,,alive,,,,,
2,102,4,sham,yes,washed,,alive,,,,,
2,107,4,sham,yes,washed,,alive,,,,,
2,113,4,sham,yes,washed,,alive,,,,,
2,114,4,sham,yes,washed,,alive,,,,,
2,120,4,sham,yes,washed,,alive,,,,,
2,52,6,mutant_SM,yes,unwashed,,alive,,,,,
2,22,6,mutant_SM,yes,unwashed,,alive,,,,,
2,40,6,mutant_SM,yes,unwashed,,alive,,,,,
2,56,6,mutant_SM,yes,unwashed,,alive,,,,,
2,44,6,mutant_SM,yes,unwashed,,alive,,,,,
2,75,8,mutant_SM,yes,washed,,alive,,,,,
