Frog,Ivermectin_Dosed,spleen.weight (g),Bd_GE,bd.load (log +1)
9,NO,0.0009,0,0
16,NO,0.0001,0,0
26,NO,0.0004,0,0
40,NO,,0,0
10,NO,0.0005,158.0377698,2.201500277
39,NO,0.0002,422.3633766,2.626713286
1,NO,0.0009,695.7580566,2.843081999
7,NO,0.001,1460.155964,3.164696575
5,NO,0.0016,21117.49725,4.324663012
2,YES,0.0015,0,0
6,YES,0.0007,0,0
8,YES,0.0005,0,0
11,YES,0.0008,0,0
22,YES,0.0005,0,0
24,YES,0.0004,0,0
28,YES,0.0002,16,1.230448921
29,YES,0.0006,0,0
34,YES,0.0006,0,0
38,YES,0.0014,0,0
33,YES,0.0002,5287.539291,3.723335735
