frog_id,vaccinated,conc,log.conc,duration,mass,Bd_GE,prevalence
1,control,0,0,0,0.16,0,0
2,control,0,0,0,0.29,2090.288013,1
3,control,0,0,0,0.12,1324.055325,1
5,control,0,0,0,0.37,2035.814396,1
8,control,0,0,0,0.15,1609.751468,1
9,control,0,0,0,0.41,2048.006442,1
10,control,0,0,0,0.2,2811.091159,1
11,control,0,0,0,0.18,51.65714284,1
14,control,0,0,0,0.18,1314.528161,1
15,control,0,0,0,0.22,2576.36514,1
16,control,0,0,0,0.16,0,0
17,control,0,0,0,0.28,0.071767478,1
18,control,0,0,0,0.18,2657.420834,1
19,control,0,0,0,0.17,334.3220346,1
20,control,0,0,0,0.35,2.65204115,1
22,vaccine,100,2,1,0.24,0.577814872,1
24,vaccine,100,2,1,0.17,0,0
25,vaccine,100,2,1,0.28,0,0
26,vaccine,100,2,1,0.23,0,0
28,vaccine,100,2,1,0.32,0,0
29,vaccine,100,2,1,0.13,0,0
30,vaccine,100,2,1,0.17,0,0
31,vaccine,100,2,2,0.19,0,0
32,vaccine,100,2,2,0.16,0,0
35,vaccine,100,2,2,0.12,0,0
38,vaccine,100,2,2,0.18,0,0
40,vaccine,100,2,2,0.25,0,0
41,vaccine,100,2,3,0.23,0,0
42,vaccine,100,2,3,0.4,0,0
43,vaccine,100,2,3,0.29,0,0
44,vaccine,100,2,3,0.19,0,0
45,vaccine,100,2,3,0.3,0,0
46,vaccine,100,2,3,0.17,0,0
47,vaccine,100,2,3,0.27,0,0
48,vaccine,100,2,3,0.16,0,0
49,vaccine,100,2,3,0.21,0,0
50,vaccine,100,2,3,0.16,0,0
53,vaccine,1000,3,1,0.22,0,0
55,vaccine,1000,3,1,0.21,0,0
57,vaccine,1000,3,1,0.38,35.3638686,1
60,vaccine,1000,3,1,0.23,0,0
61,vaccine,1000,3,2,0.18,0,0
62,vaccine,1000,3,2,0.27,0,0
63,vaccine,1000,3,2,0.12,0,0
65,vaccine,1000,3,2,0.15,0,0
66,vaccine,1000,3,2,0.29,0,0
67,vaccine,1000,3,2,0.16,0,0
68,vaccine,1000,3,2,0.16,0.02454468,1
70,vaccine,1000,3,2,0.18,11.12320739,1
71,vaccine,1000,3,3,0.19,0,0
72,vaccine,1000,3,3,0.16,0,0
73,vaccine,1000,3,3,0.13,0,0
74,vaccine,1000,3,3,0.17,0,0
75,vaccine,1000,3,3,0.24,0,0
76,vaccine,1000,3,3,0.14,0,0
77,vaccine,1000,3,3,0.31,0,0
80,vaccine,1000,3,3,0.16,0,0
81,vaccine,10000,4,1,0.14,186.8068539,1
82,vaccine,10000,4,1,0.24,0,0
83,vaccine,10000,4,1,0.29,0,0
84,vaccine,10000,4,1,0.14,93.99014119,1
85,vaccine,10000,4,1,0.27,0.08075765,1
86,vaccine,10000,4,1,0.2,27.63783611,1
87,vaccine,10000,4,1,0.2,0,0
89,vaccine,10000,4,1,0.35,0,0
93,vaccine,10000,4,2,0.17,0,0
94,vaccine,10000,4,2,0.29,800.2422073,1
95,vaccine,10000,4,2,0.22,0,0
96,vaccine,10000,4,2,0.16,0,0
98,vaccine,10000,4,2,0.29,0,0
99,vaccine,10000,4,2,0.34,101.0027205,1
100,vaccine,10000,4,2,0.12,0,0
103,vaccine,10000,4,3,0.16,0,0
104,vaccine,10000,4,3,0.17,0,0
105,vaccine,10000,4,3,0.21,0,0
106,vaccine,10000,4,3,0.23,0,0
107,vaccine,10000,4,3,0.21,0.553555272,1
108,vaccine,10000,4,3,0.15,0.704618867,1
109,vaccine,10000,4,3,0.2,0,0
110,vaccine,10000,4,3,0.26,0,0
