frog,conc,log.conc,duration,death_status,death,death_time_post_Bd
1,0,0,0,survived,46,24
2,0,0,0,survived,46,24
3,0,0,0,survived,46,24
4,0,0,0,died,22,0
5,0,0,0,survived,46,24
6,0,0,0,died,26,4
7,0,0,0,died,10,-12
8,0,0,0,survived,46,24
9,0,0,0,survived,46,24
10,0,0,0,survived,46,24
11,0,0,0,survived,46,24
12,0,0,0,died,16,-6
13,0,0,0,survived,26,4
14,0,0,0,survived,46,24
15,0,0,0,survived,46,24
16,0,0,0,survived,46,24
17,0,0,0,survived,46,24
18,0,0,0,survived,46,24
19,0,0,0,survived,46,24
20,0,0,0,survived,46,24
21,100,2,1,died,9,-13
22,100,2,1,survived,46,24
23,100,2,1,died,25,3
24,100,2,1,survived,46,24
25,100,2,1,survived,46,24
26,100,2,1,survived,46,24
27,100,2,1,died,4,-18
28,100,2,1,survived,46,24
29,100,2,1,survived,46,24
30,100,2,1,survived,46,24
31,100,2,2,survived,46,24
32,100,2,2,survived,46,24
33,100,2,2,died,6,-16
34,100,2,2,died,9,-13
35,100,2,2,survived,46,24
36,100,2,2,died,22,0
37,100,2,2,died,23,1
38,100,2,2,survived,46,24
39,100,2,2,died,22,0
40,100,2,2,survived,46,24
41,100,2,3,survived,46,24
42,100,2,3,survived,46,24
43,100,2,3,survived,46,24
44,100,2,3,survived,46,24
45,100,2,3,survived,46,24
46,100,2,3,survived,46,24
47,100,2,3,survived,46,24
48,100,2,3,survived,46,24
49,100,2,3,survived,46,24
50,100,2,3,survived,46,24
51,1000,3,1,died,22,0
52,1000,3,1,died,10,-12
53,1000,3,1,survived,46,24
54,1000,3,1,died,6,-16
55,1000,3,1,survived,46,24
56,1000,3,1,died,24,2
57,1000,3,1,survived,46,24
58,1000,3,1,survived,46,24
59,1000,3,1,died,14,-8
60,1000,3,1,survived,46,24
61,1000,3,2,survived,46,24
62,1000,3,2,survived,46,24
63,1000,3,2,survived,46,24
64,1000,3,2,died,30,8
65,1000,3,2,survived,46,24
66,1000,3,2,survived,46,24
67,1000,3,2,survived,46,24
68,1000,3,2,survived,46,24
69,1000,3,2,died,4,-18
70,1000,3,2,survived,46,24
71,1000,3,3,survived,46,24
72,1000,3,3,survived,46,24
73,1000,3,3,survived,46,24
74,1000,3,3,survived,46,24
75,1000,3,3,survived,46,24
76,1000,3,3,survived,46,24
77,1000,3,3,survived,46,24
78,1000,3,3,died,25,3
79,1000,3,3,died,8,-14
80,1000,3,3,survived,46,24
81,10000,4,1,survived,46,24
82,10000,4,1,survived,46,24
83,10000,4,1,survived,46,24
84,10000,4,1,survived,46,24
85,10000,4,1,survived,46,24
86,10000,4,1,survived,46,24
87,10000,4,1,survived,46,24
88,10000,4,1,died,36,14
89,10000,4,1,survived,46,24
90,10000,4,1,died,23,1
91,10000,4,2,died,22,0
92,10000,4,2,died,23,1
93,10000,4,2,survived,46,24
94,10000,4,2,survived,46,24
95,10000,4,2,survived,46,24
96,10000,4,2,survived,46,24
97,10000,4,2,died,6,-16
98,10000,4,2,survived,46,24
99,10000,4,2,survived,46,24
100,10000,4,2,survived,46,24
101,10000,4,3,died,22,0
102,10000,4,3,died,42,20
103,10000,4,3,survived,46,24
104,10000,4,3,survived,46,24
105,10000,4,3,survived,46,24
106,10000,4,3,survived,46,24
107,10000,4,3,survived,46,24
108,10000,4,3,survived,46,24
109,10000,4,3,survived,46,24
110,10000,4,3,survived,46,24
