tadpole_id,conc,log.conc,vaccinated,duration2,Bd_GE,prevalence,death_status,death.day,death_time_post_Bd,Gosner Stage,Mass
1,0,0,Controls,0,1.526153684,1,survive,50,14,44,0.26
2,0,0,Controls,0,177.0359278,1,survive,50,14,39,0.53
3,0,0,Controls,0,0,0,survive,50,14,37,0.38
4,0,0,Controls,0,48264.13672,1,survive,50,14,37,0.56
5,0,0,Controls,0,0,0,survive,50,14,37,0.45
6,0,0,Controls,0,0,0,survive,50,14,41,0.31
7,0,0,Controls,0,144.8445916,1,survive,50,14,39,0.25
8,0,0,Controls,0,0,0,survive,50,14,37,0.37
9,0,0,Controls,0,1097.77,1,survive,50,14,38,0.37
10,0,0,Controls,0,0,0,survive,50,14,38,0.29
11,0,0,Controls,0,477.2884369,1,survive,50,14,41,0.39
12,0,0,Controls,0,344.391346,1,survive,50,14,41,0.35
13,0,0,Controls,0,585.4987144,1,survive,50,14,39,0.59
14,0,0,Controls,0,570.4810619,1,survive,50,14,39,0.43
15,0,0,Controls,0,0,0,survive,50,14,40,0.57
16,100,2,vaccinated,1,0,0,survive,50,14,36,0.36
17,100,2,vaccinated,1,0,0,survive,50,14,38,0.52
18,100,2,vaccinated,1,0,0,survive,50,14,25,0.41
19,100,2,vaccinated,1,25.60472727,1,survive,50,14,41,0.47
20,100,2,vaccinated,1,0,0,survive,50,14,41,0.24
21,100,2,vaccinated,1,0,0,survive,50,14,36,0.54
22,100,2,vaccinated,1,440.9468174,1,survive,50,14,41,0.41
23,100,2,vaccinated,3,0,0,survive,50,14,40,0.61
24,100,2,vaccinated,3,0,0,survive,50,14,41,0.63
25,100,2,vaccinated,3,0,0,survive,50,14,39,0.49
26,100,2,vaccinated,3,0,0,survive,50,14,38,0.42
27,100,2,vaccinated,3,280.0264835,1,survive,50,14,40,0.63
28,100,2,vaccinated,3,31.33356094,1,survive,50,14,36,0.58
29,100,2,vaccinated,5,347.6190805,1,survive,50,14,36,0.5
30,100,2,vaccinated,5,369.3058014,1,survive,50,14,37,0.46
31,100,2,vaccinated,5,0,0,survive,50,14,34,0.2
32,100,2,vaccinated,5,0,0,survive,50,14,37,0.59
33,100,2,vaccinated,5,0,0,survive,50,14,39,0.55
34,100,2,vaccinated,5,0,0,died,25,-11,,
35,100,2,vaccinated,5,534.6169472,1,survive,50,14,39,0.37
36,1000,3,vaccinated,3,0,0,died,43,7,,
37,1000,3,vaccinated,3,0,0,survive,50,14,38,0.38
38,1000,3,vaccinated,3,0,0,survive,50,14,37,0.5
39,1000,3,vaccinated,3,0,0,survive,50,14,34,0.37
40,1000,3,vaccinated,3,0,0,survive,50,14,35,0.47
41,1000,3,vaccinated,3,0,0,survive,50,14,39,0.41
42,10000,4,vaccinated,1,0,0,survive,50,14,36,0.49
43,10000,4,vaccinated,1,0,0,survive,50,14,39,0.51
44,10000,4,vaccinated,1,398.2585192,1,survive,50,14,42,0.18
45,10000,4,vaccinated,1,666.3767242,1,survive,50,14,38,0.41
46,10000,4,vaccinated,1,0,0,survive,50,14,36,0.47
47,10000,4,vaccinated,1,0,0,survive,50,14,37,0.3
48,10000,4,vaccinated,1,0,0,survive,50,14,37,0.55
49,10000,4,vaccinated,2,28.7981838,1,survive,50,14,37,0.45
50,10000,4,vaccinated,2,0,0,survive,50,14,35,0.43
51,10000,4,vaccinated,2,0,0,survive,50,14,38,0.55
52,10000,4,vaccinated,2,272.3789692,1,survive,50,14,33,0.22
53,10000,4,vaccinated,2,0,0,survive,50,14,37,0.69
54,10000,4,vaccinated,2,0,0,survive,50,14,36,0.45
55,10000,4,vaccinated,2,0,0,survive,50,14,39,0.51
56,10000,4,vaccinated,3,0,0,survive,50,14,36,0.52
57,10000,4,vaccinated,3,313.4233952,1,survive,50,14,38,0.57
58,10000,4,vaccinated,3,202.115798,1,survive,50,14,36,0.5
59,10000,4,vaccinated,3,351.0397673,1,survive,50,14,36,0.39
60,10000,4,vaccinated,3,0,0,survive,50,14,37,0.56
61,10000,4,vaccinated,3,0,0,survive,50,14,36,0.46
62,10000,4,vaccinated,3,0,0,survive,50,14,37,0.61
63,10000,4,vaccinated,4,0,0,survive,50,14,39,0.47
64,10000,4,vaccinated,4,0,0,survive,50,14,37,0.39
65,10000,4,vaccinated,4,647.1410275,1,survive,50,14,37,0.58
66,10000,4,vaccinated,4,0,0,survive,50,14,38,0.53
67,10000,4,vaccinated,4,0,0,survive,50,14,39,0.45
68,10000,4,vaccinated,4,0,0,survive,50,14,38,0.55
69,10000,4,vaccinated,4,0,0,died,10,-26,,
70,10000,4,vaccinated,5,0,0,survive,50,14,36,0.78
71,10000,4,vaccinated,5,0,0,survive,50,14,37,0.55
72,10000,4,vaccinated,5,0,0,survive,50,14,35,0.58
73,10000,4,vaccinated,5,0,0,died,25,-11,,
74,10000,4,vaccinated,5,0,0,survive,50,14,36,0.63
75,10000,4,vaccinated,5,0,0,survive,50,14,37,0.36
76,10000,4,vaccinated,5,0,0,survive,50,14,36,0.49
77,100000,5,vaccinated,3,0,0,survive,50,14,41,0.59
78,100000,5,vaccinated,3,0,0,survive,50,14,37,0.64
79,100000,5,vaccinated,3,0,0,survive,50,14,37,0.51
80,100000,5,vaccinated,3,0,0,survive,50,14,37,0.61
81,100000,5,vaccinated,3,0,0,survive,50,14,36,0.5
82,100000,5,vaccinated,3,0,0,survive,50,14,40,0.59
83,1000000,6,vaccinated,1,0,0,survive,50,14,37,0.42
84,1000000,6,vaccinated,1,0,0,survive,50,14,37,0.5
85,1000000,6,vaccinated,1,0,0,survive,50,14,36,0.45
86,1000000,6,vaccinated,1,0,0,survive,50,14,37,0.53
87,1000000,6,vaccinated,1,0,0,survive,50,14,38,0.7
88,1000000,6,vaccinated,1,0,0,survive,50,14,36,0.5
89,1000000,6,vaccinated,1,0,0,died,12,-24,,
90,1000000,6,vaccinated,3,0,0,died,29,-7,,
91,1000000,6,vaccinated,3,428.9240837,1,survive,50,14,37,0.43
92,1000000,6,vaccinated,3,0,0,survive,50,14,40,0.63
