treatment,zoospores,metabolites,bd
Control,No,No,0
Control,No,No,633.9243613
Control,No,No,0
Control,No,No,634.8446012
Control,No,No,0
Control,No,No,0
Control,No,No,0
Control,No,No,265.7089848
Control,No,No,684.4385527
Control,No,No,323.6067481
Control,No,No,1185.754873
Control,No,No,280.4431133
Control,No,No,638.7739908
Control,No,No,1015.617885
Control,No,No,2450.446412
Control,No,No,1077.82511
Control,No,No,307.3738422
Control,No,No,752.6912261
Control,No,No,5258.421972
Control,No,No,1217.594557
Control,No,No,766.0594303
Control,No,No,512.0781716
Control,No,No,565.9170914
Control,No,No,384.030072
Control,No,No,0
Dead Zoospores in DI,Yes,No,0
Dead Zoospores in DI,Yes,No,758.9820772
Dead Zoospores in DI,Yes,No,0
Dead Zoospores in DI,Yes,No,447.2668283
Dead Zoospores in DI,Yes,No,0
Dead Zoospores in DI,Yes,No,540.3340328
Dead Zoospores in DI,Yes,No,746.5530653
Dead Zoospores in DI,Yes,No,1856.728271
Dead Zoospores in DI,Yes,No,635.7563194
Dead Zoospores in DI,Yes,No,992.7690029
Dead Zoospores in DI,Yes,No,0
Dead Zoospores in DI,Yes,No,445.394963
Dead Zoospores in DI,Yes,No,0
Dead Zoospores in DI,Yes,No,0
Dead Zoospores in DI,Yes,No,388.2099641
Dead Zoospores in DI,Yes,No,0
Dead Zoospores in DI,Yes,No,636.4269648
Dead Zoospores in DI,Yes,No,0
Dead Zoospores in DI,Yes,No,0
Dead Zoospores in DI,Yes,No,0
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,544.7950214
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,683.4038999
Dead zoospores with Metabolites,Yes,Yes,0
Dead zoospores with Metabolites,Yes,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,51.30957961
Metabolites,No,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,151.2234092
Metabolites,No,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,315.6956673
Metabolites,No,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,179.1620374
Metabolites,No,Yes,0
Metabolites,No,Yes,402.0430565
Metabolites,No,Yes,0
Metabolites,No,Yes,182.7354312
Metabolites,No,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,0
Metabolites,No,Yes,144.2732692
Metabolites,No,Yes,0
Metabolites,No,Yes,0
