Tadpole,Fungicide,Bd Trt,Infection Stage at time of swab,Swab_Time,Initial Mass ,Initial Stage,Final Life Stage,Tadpole Final Mass,Tadpole Final Stage,Tadpole Final SVL,Mass at Meta,Date of Meta,Day Of Meta,Death Date,Last_Day_in_Expt,Bd_load,Log Bd,Swab Time,Prev
7,Mancozeb,Both,Exposed,Metamorphosis,0.104,25,Meta*Dead,,,,0.194,7/12/2012,66,10/2/2013,131,0,0,Metamorphosis,0
7,Mancozeb,Both,Exposed,Pre Expo 2,0.104,25,Meta*Dead,,,,0.194,7/12/2012,66,10/2/2013,131,3767.325211,8.234120536,Pre Expo 2,1
7,Mancozeb,Both,Exposed 2,Mortality,0.104,25,Meta*Dead,,,,0.194,7/12/2012,66,10/2/2013,131,1473132.52,14.20290166,Mortality,1
11,Azoxystrobin,Both,Exposed,Metamorphosis,0.105,25,Meta*Dead,,,,0.215,10/12/2012,69,24/3/2013,173,0,0,Metamorphosis,0
11,Azoxystrobin,Both,Exposed,Pre Expo 2,0.105,25,Meta*Dead,,,,0.215,10/12/2012,69,24/3/2013,173,1790.379715,7.490183008,Pre Expo 2,1
11,Azoxystrobin,Both,Exposed 2,Mid_Survey,0.105,25,Meta*Dead,,,,0.215,10/12/2012,69,24/3/2013,173,4224.92,8.348755605,Mid Survey,1
11,Azoxystrobin,Both,Exposed 2,Mortality,0.105,25,Meta*Dead,,,,0.215,10/12/2012,69,24/3/2013,173,111645.3125,11.62308227,Mortality,1
27,Azoxystrobin,Both,Exposed,Metamorphosis,0.325,33,Meta,,,,0.201,26/11/2012,55,,213,0,0,Metamorphosis,0
27,Azoxystrobin,Both,Exposed,Pre Expo 2,0.325,33,Meta,,,,0.201,26/11/2012,55,,213,0,0,Pre Expo 2,0
27,Azoxystrobin,Both,Exposed 2,Mid_Survey,0.325,33,Meta,,,,0.201,26/11/2012,55,,213,14.33,2.662355242,Mid Survey,1
31,Mancozeb,Both,Exposed,Metamorphosis,0.203,28,Meta,,,,0.425,12/2/2012,61,,213,0,0,Metamorphosis,0
31,Mancozeb,Both,Exposed,Pre Expo 2,0.203,28,Meta,,,,0.425,12/2/2012,61,,213,0,0,Pre Expo 2,0
31,Mancozeb,Both,exposed 2,Mid_Survey,0.203,28,Meta,,,,0.425,12/2/2012,61,,213,0,0,Mid Survey,0
37,Chlorothalonil,Both,Exposed,Metamorphosis,0.098,25,Meta,,,,0.172,16/12/2012,75,,213,0,0,Metamorphosis,0
37,Chlorothalonil,Both,Exposed,Pre Expo 2,0.098,25,Meta,,,,0.172,16/12/2012,75,,213,0,0,Pre Expo 2,0
37,Chlorothalonil,Both,Exposed 2,Mid_Survey,0.098,25,Meta,,,,0.172,16/12/2012,75,,213,0,0,Mid Survey,0
39,Mancozeb,Both,Exposed,Metamorphosis,0.092,25,Meta,,,,0.15,30/11/2012,59,,213,0,0,Metamorphosis,0
39,Mancozeb,Both,Exposed,Pre Expo 2,0.092,25,Meta,,,,0.15,30/11/2012,59,,213,0,0,Pre Expo 2,0
39,Mancozeb,Both,Exposed 2,Mid_Survey,0.092,25,Meta,,,,0.15,30/11/2012,59,,213,47.17,3.853758097,Mid Survey,1
40,Mancozeb,Both,Exposed,Metamorphosis,0.486,34,Meta,,,,0.236,17/10/2012,15,,213,0,0,Metamorphosis,0
40,Mancozeb,Both,Exposed,Pre Expo 2,0.486,34,Meta,,,,0.236,17/10/2012,15,,213,0,0,Pre Expo 2,0
40,Mancozeb,Both,Exposed 2,Mid_Survey,0.486,34,Meta,,,,0.236,17/10/2012,15,,213,0,0,Mid Survey,0
41,Control,Both,Exposed,Metamorphosis,0.421,28,Meta*Dead,,,,0.19,5/11/2012,34,13/1/2013,103,170.9120631,5.141149173,Metamorphosis,1
41,Control,Both,Exposed,Pre Expo 2,0.421,28,Meta*Dead,,,,0.19,5/11/2012,34,13/1/2013,103,0,0,Pre Expo 2,0
41,Control,Both,Exposed 2,Mortality,0.421,28,Meta*Dead,,,,0.19,5/11/2012,34,13/1/2013,103,453557.1777,13.02487662,Mortality,1
47,Mancozeb,Both,Exposed,Metamorphosis,0.18,25,Meta,,,,0.234,23/11/2012,52,,213,0,0,Metamorphosis,0
47,Mancozeb,Both,Exposed 2,Mid_Survey,0.18,25,Meta,,,,0.234,23/11/2012,52,,213,0,0,Mid Survey,0
51,Azoxystrobin,Both,Exposed,Metamorphosis,0.156,26,Meta,,,,0.221,20/12/2012,79,,213,0,0,Metamorphosis,0
51,Azoxystrobin,Both,Exposed,Pre Expo 2,0.156,26,Meta,,,,0.221,20/12/2012,79,,213,92.50057936,4.527214908,Pre Expo 2,1
51,Azoxystrobin,Both,Exposed 2,Mid_Survey,0.156,26,Meta,,,,0.221,20/12/2012,79,,213,0,0,Mid Survey,0
53,Chlorothalonil,Both,Exposed,Metamorphosis,0.278,25,Meta,,,,0.2,14/12/2012,73,,213,52.97,3.969725716,Metamorphosis,1
53,Chlorothalonil,Both,Exposed,Pre Expo 2,0.278,25,Meta,,,,0.2,14/12/2012,73,,213,0,0,Pre Expo 2,0
53,Chlorothalonil,Both,Exposed 2,Mid_Survey,0.278,25,Meta,,,,0.2,14/12/2012,73,,213,0,0,Mid Survey,0
59,Azoxystrobin,Both,Exposed,Metamorphosis,0.155,25,Meta,,,,0.204,29/11/2012,58,,213,178.9321184,5.187006507,Metamorphosis,1
59,Azoxystrobin,Both,Exposed,Pre Expo 2,0.155,25,Meta,,,,0.204,29/11/2012,58,,213,0,0,Pre Expo 2,0
59,Azoxystrobin,Both,Exposed 2,Mid_Survey,0.155,25,Meta,,,,0.204,29/11/2012,58,,213,0,0,Mid Survey,0
63,Mancozeb,Both,Exposed,Metamorphosis,0.125,25,Meta,,,,0.182,16/12/2012,75,,213,0,0,Metamorphosis,0
63,Mancozeb,Both,Exposed,Pre Expo 2,0.125,25,Meta,,,,0.182,16/12/2012,75,,213,0,0,Pre Expo 2,0
63,Mancozeb,Both,Exposed 2,Mid_Survey,0.125,25,Meta,,,,0.182,16/12/2012,75,,213,0,0,Mid Survey,0
65,Control,Both,Exposed,Metamorphosis,0.298,27,Meta,,,,0.185,26/11/2012,55,,213,0,0,Metamorphosis,0
