Tadpole,Treatment,Fungicide,Bd,NumBdExposures,Bd_load,Log_Bd,Mortality
92,Azoxystrobin,Fungicide,postmeta,One,0,0,alive
108,Azoxystrobin,Fungicide,postmeta,One,0,0,alive
16,Chlorothalonil,Fungicide,postmeta,One,0,0,alive
79,Chlorothalonil,Fungicide,postmeta,One,0,0,alive
18,Control,Control,postmeta,One,0,0,alive
26,Control,Control,postmeta,One,0,0,alive
50,Control,Control,postmeta,One,0,0,alive
82,Control,Control,postmeta,One,0,0,alive
90,Control,Control,postmeta,One,0,0,alive
154,Control,Control,postmeta,One,0,0,alive
72,Mancozeb,Fungicide,postmeta,One,0,0,alive
152,Mancozeb,Fungicide,postmeta,One,0,0,alive
8,Mancozeb,Fungicide,postmeta,One,33.88,3.52282487,alive
56,Mancozeb,Fungicide,postmeta,One,38.11,3.640476715,alive
66,Control,Control,postmeta,One,50.61,3.924149185,alive
34,Control,Control,postmeta,One,62.5,4.135166557,alive
160,Mancozeb,Fungicide,postmeta,One,71.6,4.271095074,alive
58,Control,Control,postmeta,One,114.51,4.740662155,alive
68,Azoxystrobin,Fungicide,postmeta,One,115.35,4.747970985,alive
88,Mancozeb,Fungicide,postmeta,One,132.41,4.885903169,alive
128,Mancozeb,Fungicide,postmeta,One,163.16,5.094731314,alive
138,Control,Control,postmeta,One,170.07,5.136210117,alive
118,Chlorothalonil,Fungicide,postmeta,One,256.71,5.547947043,alive
120,Mancozeb,Fungicide,postmeta,One,358.27,5.881286892,alive
54,Chlorothalonil,Fungicide,postmeta,One,372.83,5.921122552,alive
124,Azoxystrobin,Fungicide,postmeta,One,409.52,6.014985742,alive
44,Azoxystrobin,Fungicide,postmeta,One,469.52,6.151710896,alive
156,Azoxystrobin,Fungicide,postmeta,One,659.09,6.490860096,alive
46,Chlorothalonil,Fungicide,postmeta,One,1564.63,7.355404653,alive
28,Azoxystrobin,Fungicide,postmeta,One,1595.51,7.374948713,alive
48,Mancozeb,Fungicide,postmeta,One,2106.56,7.652811564,alive
32,Mancozeb,Fungicide,postmeta,One,2136.62,7.66698042,alive
134,Chlorothalonil,Fungicide,postmeta,One,5966.81,8.693967725,alive
24,Mancozeb,Fungicide,postmeta,One,7211.22,8.883393425,alive
148,Azoxystrobin,Fungicide,postmeta,One,9935.73,9.20389263,alive
156,Azoxystrobin,Fungicide,postmeta,One,18870.28961,9.845343986,died
88,Mancozeb,Fungicide,postmeta,One,25103.93829,10.13078002,died
134,Chlorothalonil,Fungicide,postmeta,One,86883.34961,11.37232169,died
148,Azoxystrobin,Fungicide,postmeta,One,88449.70093,11.39018932,died
46,Chlorothalonil,Fungicide,postmeta,One,99051.46484,11.50339484,died
24,Mancozeb,Fungicide,postmeta,One,159183.7646,11.97781457,died
32,Mancozeb,Fungicide,postmeta,One,750709.6191,13.5287742,died
