ID,Date,Week_post_Bd,Treatment,immunisation_or_not,Bd_load
OS-13,15-Apr,W2,TR,immunised,0
OS-18,15-Apr,W2,TR,immunised,0
OS-18,22-Apr,W3,TR,immunised,0
OS-19,15-Apr,W2,TR,immunised,0
OS-20,15-Apr,W2,TR,immunised,0
OS-20,22-Apr,W3,TR,immunised,0
OS-23,15-Apr,W2,TR,control,0
OS-24,15-Apr,W2,TR,control,0
OS-28,15-Apr,W2,TR,control,0
OS-31,15-Apr,W2,TR,control,0
OS-33,15-Apr,W2,TR,control,0
OS-4,15-Apr,W2,TR,immunised,0
OS-55,8-Jul,W1,TR,immunised,0
OS-55,15-Apr,W2,TR,immunised,0
OS-56,8-Jul,W1,TR,immunised,0
OS-56,15-Jul,W2,TR,immunised,0
OS-58,8-Jul,W1,TR,immunised,111.6288185
OS-58,15-Jul,W2,TR,immunised,0
OS-6,15-Apr,W2,TR,immunised,0
OS-62,8-Jul,W1,TR,immunised,1497.544098
OS-62,15-Jul,W2,TR,immunised,0
OS-67,8-Jul,W1,TR,immunised,0
OS-67,15-Jul,W2,TR,immunised,0
OS-71,8-Jul,W1,TR,immunised,130.7902694
OS-71,8-Jul,W1,TR,immunised,210.5210781
OS-71,15-Jul,W2,TR,immunised,0
OS-74,8-Jul,W1,TR,immunised,421.7107296
OS-74,15-Jul,W2,TR,immunised,0
OS-81,8-Jul,W1,TR,control,0
OS-81,15-Jul,W2,TR,control,0
OS-82,8-Jul,W1,TR,control,0
OS-82,15-Jul,W2,TR,control,0
OS-86,8-Jul,W1,TR,control,0
OS-86,15-Jul,W2,TR,control,0
OS-9,15-Apr,W2,TR,immunised,0
OS-9,22-Apr,W3,TR,immunised,2298.675
OS-97,8-Jul,W1,TR,control,0
OS-97,15-Jul,W2,TR,control,0
