species,treatment,ID,week,peak_ZE
Rana_onca,SMR-ITRA-SMR,A2,3,33
Rana_onca,SMR-ITRA-SMR,A5,4,6687
Rana_onca,SMR-ITRA-SMR,A6,6,904
Rana_onca,SMR-ITRA-SMR,A62,4,1519
Rana_onca,SMR-ITRA-SMR,A63,7,401
Rana_onca,SMR-ITRA-SMR,A64,8,8175
Rana_onca,SMR-ITRA-SMR,A7,1,50
Rana_onca,SMR-ITRA-SMR,A8,5,2134
Rana_onca,SMR-ITRA-SMR,A9,4,324
Rana_onca,SMR-ITRA-SMR,A10,3,228
Rana_onca,SMR-ITRA-SMR,A11,3,60
Rana_onca,SMR-ITRA-SMR,A12,20,70
Rana_onca,Sham-Sham-SMR,A37,6,12633
Rana_onca,Sham-Sham-SMR,A38,6,5447
Rana_onca,Sham-Sham-SMR,A39,4,17645
Rana_onca,Sham-Sham-SMR,A40,6,2990
Rana_onca,Sham-Sham-SMR,A41,7,15439
Rana_onca,Sham-Sham-SMR,A42,6,67030
Rana_onca,Sham-Sham-SMR,A43,5,14515
Rana_onca,Sham-Sham-SMR,A44,3,3810
Rana_onca,Sham-Sham-SMR,A45,3,2735
Rana_onca,Sham-Sham-SMR,A46,6,14999
Rana_onca,Sham-Sham-SMR,A47,5,59686
Rana_onca,Sham-Sham-SMR,A48,4,4848
Rana_onca,Sham-ITRA-SMR,A49,5,44556
Rana_onca,Sham-ITRA-SMR,A50,11,7047
Rana_onca,Sham-ITRA-SMR,A51,6,62573
Rana_onca,Sham-ITRA-SMR,A52,5,13688
Rana_onca,Sham-ITRA-SMR,A53,6,2933
Rana_onca,Sham-ITRA-SMR,A54,6,72904
Rana_onca,Sham-ITRA-SMR,A55,6,2766
Rana_onca,Sham-ITRA-SMR,A56,6,4993
Rana_onca,Sham-ITRA-SMR,A57,3,1158
Rana_onca,Sham-ITRA-SMR,A58,5,699
Rana_onca,Sham-ITRA-SMR,A59,5,1075
Rana_onca,Sham-ITRA-SMR,A60,7,2424
