species,ID,treatment,week,peak_ZE
Rana_pipiens,P1,CL-Itra-CL,18,1193.00
Rana_pipiens,P2,CL-Itra-CL,14,34066.00
Rana_pipiens,P3,CL-Itra-CL,4,66919.00
Rana_pipiens,P4,CL-Itra-CL,3,2875.00
Rana_pipiens,P5,CL-Itra-CL,19,62292.00
Rana_pipiens,P6,CL-Itra-CL,4,5915.00
Rana_pipiens,P7,CL-Itra-CL,4,5363.00
Rana_pipiens,P8,CL-Itra-CL,4,13136.00
Rana_pipiens,P9,CL-Itra-CL,4,2233.00
Rana_pipiens,P10,CL-Itra-CL,11,24776.00
Rana_pipiens,P11,CL-Itra-CL,8,527.00
Rana_pipiens,P12,CL-Itra-CL,3,1108.00
Rana_pipiens,P37,Itra-CL,5,13452.00
Rana_pipiens,P38,Itra-CL,4,18645.00
Rana_pipiens,P39,Itra-CL,4,22220.00
Rana_pipiens,P40,Itra-CL,7,44050.00
Rana_pipiens,P41,Itra-CL,9,26931.00
Rana_pipiens,P42,Itra-CL,11,154886.00
Rana_pipiens,P43,Itra-CL,9,44566.00
Rana_pipiens,P44,Itra-CL,4,27789.00
Rana_pipiens,P45,Itra-CL,11,384100.00
Rana_pipiens,P46,Itra-CL,9,181710.00
Rana_pipiens,P47,Itra-CL,5,74771.00
Rana_pipiens,P48,Itra-CL,11,393882.00
Rana_pipiens,P49,CL,6,8723.00
Rana_pipiens,P50,CL,8,245285.00
Rana_pipiens,P51,CL,4,226305.00
Rana_pipiens,P52,CL,11,150833.00
Rana_pipiens,P53,CL,5,121517.00
Rana_pipiens,P54,CL,4,48902.00
Rana_pipiens,P55,CL,4,44320.00
Rana_pipiens,P56,CL,4,114227.00
Rana_pipiens,P57,CL,8,29347.00
Rana_pipiens,P58,CL,5,166484.00
Rana_pipiens,P59,CL,4,125531.00
Rana_pipiens,P60,CL,4,130421.00
