week,greenhouse,T.body,Bd_exposure,ITS,treatment
1,shaded,21.8,chytrid,23724.94219,naive
1,shaded,11.2,chytrid,17448.52618,naive
1,unshaded,19.1,chytrid,30795.13875,naive
1,shaded,25.5,chytrid,2910.880483,naive
1,unshaded,15.3,chytrid,2330.147464,naive
1,unshaded,14.5,chytrid,16966.6573,naive
1,unshaded,21.5,chytrid,29046.26461,naive
1,unshaded,17,chytrid,5716.779658,naive
1,shaded,20.7,chytrid,1728.484984,naive
1,shaded,12.6,chytrid,4347.67612,naive
1,shaded,19.5,chytrid,41437.00864,naive
1,shaded,15.5,chytrid,6233.112077,naive
1,unshaded,17.4,chytrid,23914.2584,naive
1,unshaded,16.3,chytrid,12615.12766,naive
1,unshaded,20,chytrid,239.5061115,naive
1,shaded,12.8,chytrid,2853.285277,naive
1,shaded,12.4,chytrid,5175.748824,naive
1,unshaded,24.2,chytrid,1602.187294,naive
1,unshaded,21,chytrid,525.5177305,naive
1,shaded,14.1,chytrid,25366.09409,naive
1,unshaded,24.5,chytrid,11381.12923,naive
1,shaded,13,chytrid,10630.9971,naive
1,shaded,16.1,chytrid,123767.142,naive
1,unshaded,15.4,chytrid,240.0900921,naive
1,unshaded,17.6,chytrid,1427.291011,naive
1,shaded,15.8,chytrid,45165.30751,naive
1,shaded,14.7,chytrid,24.33685267,naive
1,shaded,15.9,chytrid,146694.3264,naive
1,shaded,20.6,chytrid,6073.577778,naive
1,unshaded,23.2,chytrid,988.622337,naive
1,unshaded,21.8,chytrid,4874.364107,naive
1,unshaded,17.6,chytrid,43137.31446,naive
1,unshaded,19.1,chytrid,36118.17218,naive
1,unshaded,15.2,chytrid,20449.70998,naive
1,unshaded,17.9,chytrid,0,naive
1,shaded,13.7,chytrid,13374.26095,prior-exposure
1,unshaded,25.8,chytrid,874.3646629,prior-exposure
1,shaded,12,chytrid,3918.515681,prior-exposure
1,unshaded,18.8,chytrid,19190.69097,prior-exposure
1,unshaded,26.3,chytrid,0,prior-exposure
1,shaded,21.6,chytrid,513.4549537,prior-exposure
1,shaded,17.6,chytrid,0,prior-exposure
1,unshaded,20.1,chytrid,36963.1184,prior-exposure
1,shaded,11.7,chytrid,0,prior-exposure
1,shaded,14.8,chytrid,28379.76333,prior-exposure
1,shaded,21.9,chytrid,5011.111577,prior-exposure
1,unshaded,17,chytrid,5606.511096,prior-exposure
1,unshaded,25.4,chytrid,2226.21162,prior-exposure
1,unshaded,16.3,chytrid,62.56977633,prior-exposure
1,unshaded,21.4,chytrid,75896.80278,prior-exposure
1,unshaded,25.4,chytrid,0,prior-exposure
1,shaded,20.5,chytrid,16529.30889,prior-exposure
1,unshaded,18,chytrid,1171.160152,prior-exposure
1,shaded,23.5,chytrid,24626.63864,prior-exposure
1,shaded,14.8,chytrid,88319.31082,prior-exposure
1,unshaded,18.5,chytrid,76.97518258,prior-exposure
1,unshaded,23.2,chytrid,0,prior-exposure
1,shaded,19.6,chytrid,399.3610095,prior-exposure
1,shaded,13,chytrid,0,prior-exposure
1,unshaded,23.5,chytrid,5589.828733,prior-exposure
1,unshaded,15.4,chytrid,23011.02453,prior-exposure
1,unshaded,17.8,chytrid,132592.97,prior-exposure
1,shaded,15.9,chytrid,264.1728768,prior-exposure
1,shaded,17.2,chytrid,1301.949823,prior-exposure
1,shaded,12.6,chytrid,0,prior-exposure
1,unshaded,16.3,chytrid,6227.801032,prior-exposure
1,shaded,10.6,chytrid,0,prior-exposure
1,unshaded,17.2,chytrid,1367.538378,prior-exposure
1,unshaded,16.5,chytrid,24393.20439,prior-exposure
1,shaded,13.5,chytrid,13751.45797,prior-exposure
1,unshaded,19.6,chytrid,0,naive
1,shaded,13,chytrid,0,naive
1,shaded,17.1,chytrid,0,naive
1,shaded,17.9,chytrid,0,naive
1,shaded,15.2,chytrid,0,naive
1,unshaded,22.9,chytrid,0,naive
1,unshaded,16.3,chytrid,0,naive
1,unshaded,17,chytrid,0,naive
1,unshaded,19.6,chytrid,0,naive
1,shaded,25,chytrid,0,naive
1,unshaded,20.1,chytrid,0,naive
1,shaded,16.4,chytrid,0,naive
1,unshaded,17.6,chytrid,0,naive
1,unshaded,15,chytrid,85.32738623,naive
1,shaded,12.9,chytrid,0,naive
1,unshaded,20.1,chytrid,0,naive
1,shaded,9.4,chytrid,174.8422514,naive
1,unshaded,18.4,chytrid,0,naive
1,unshaded,20.1,chytrid,0,naive
1,unshaded,18.5,chytrid,0,naive
1,shaded,11.5,chytrid,0,naive
1,shaded,11.5,chytrid,0,naive
1,unshaded,14.3,chytrid,0,naive
1,shaded,NA,chytrid,0,naive
1,unshaded,16.1,chytrid,0,naive
