FrogID,Treatment,Frog.Mass..grams.,SVL..millimeters.,week,its
1,NA,1.74,31.5,1,0
1,NA,1.74,31.5,2,69.07510336
1,NA,1.74,31.5,3,0
1,NA,1.74,31.5,4,0
1,NA,1.74,31.5,5,0
1,NA,1.74,31.5,6,0
1,NA,1.74,31.5,7,0
1,NA,1.74,31.5,8,0
1,NA,1.74,31.5,9,0
1,NA,1.74,31.5,10,0
1,NA,1.74,31.5,11,0
1,NA,1.74,31.5,12,0
1,NA,1.74,31.5,13,0
2,NA,1.9,36,1,0
2,NA,1.9,36,2,0
2,NA,1.9,36,3,0
2,NA,1.9,36,4,0
2,NA,1.9,36,5,0
2,NA,1.9,36,6,0
2,NA,1.9,36,7,0
2,NA,1.9,36,8,0
2,NA,1.9,36,9,0
2,NA,1.9,36,10,0
2,NA,1.9,36,11,0
2,NA,1.9,36,12,0
2,NA,1.9,36,13,0
3,NA,2.2,34,1,197.0634148
3,NA,2.2,34,2,0
3,NA,2.2,34,3,0
3,NA,2.2,34,4,0
3,NA,2.2,34,5,0
3,NA,2.2,34,6,0
3,NA,2.2,34,7,0
3,NA,2.2,34,8,0
3,NA,2.2,34,9,0
3,NA,2.2,34,10,0
3,NA,2.2,34,11,0
3,NA,2.2,34,12,0
3,NA,2.2,34,13,0
4,NA,8.02,53,1,NA
4,NA,8.02,53,2,NA
4,NA,8.02,53,3,NA
4,NA,8.02,53,4,NA
4,NA,8.02,53,5,NA
4,NA,8.02,53,6,NA
4,NA,8.02,53,7,NA
4,NA,8.02,53,8,NA
4,NA,8.02,53,9,NA
4,NA,8.02,53,10,NA
4,NA,8.02,53,11,NA
4,NA,8.02,53,12,NA
4,NA,8.02,53,13,NA
5,NA,3.2,38,1,1241.274907
5,NA,3.2,38,2,63.34719256
5,NA,3.2,38,3,1690.063132
5,NA,3.2,38,4,2501.398337
5,NA,3.2,38,5,2621.338295
5,NA,3.2,38,6,830.6531451
5,NA,3.2,38,7,631.7269767
5,NA,3.2,38,8,0
5,NA,3.2,38,9,0
5,NA,3.2,38,10,0
5,NA,3.2,38,11,0
5,NA,3.2,38,12,100.4517167
5,NA,3.2,38,13,60.47883151
6,NA,7.39,54.5,1,NA
6,NA,7.39,54.5,2,NA
6,NA,7.39,54.5,3,NA
6,NA,7.39,54.5,4,NA
6,NA,7.39,54.5,5,NA
6,NA,7.39,54.5,6,NA
6,NA,7.39,54.5,7,NA
6,NA,7.39,54.5,8,NA
6,NA,7.39,54.5,9,NA
6,NA,7.39,54.5,10,NA
6,NA,7.39,54.5,11,NA
6,NA,7.39,54.5,12,NA
6,NA,7.39,54.5,13,NA
7,NA,8.73,56,1,224.2749072
7,NA,8.73,56,2,0
7,NA,8.73,56,3,0
7,NA,8.73,56,4,0
7,NA,8.73,56,5,0
7,NA,8.73,56,6,0
7,NA,8.73,56,7,0
7,NA,8.73,56,8,0
7,NA,8.73,56,9,0
7,NA,8.73,56,10,0
7,NA,8.73,56,11,0
7,NA,8.73,56,12,0
7,NA,8.73,56,13,0
8,NA,7.22,48,1,3168.251316
8,NA,7.22,48,2,1024.733508
8,NA,7.22,48,3,482.1826872
8,NA,7.22,48,4,9963.682449
8,NA,7.22,48,5,1525.201432
8,NA,7.22,48,6,17240.32056
8,NA,7.22,48,7,1072.711227
8,NA,7.22,48,8,217.40677
8,NA,7.22,48,9,0
8,NA,7.22,48,10,0
8,NA,7.22,48,11,0
8,NA,7.22,48,12,0
8,NA,7.22,48,13,0
9,NA,8.3,51,1,0
9,NA,8.3,51,2,142.5515208
9,NA,8.3,51,3,0
9,NA,8.3,51,4,0
9,NA,8.3,51,5,0
9,NA,8.3,51,6,0
9,NA,8.3,51,7,0
9,NA,8.3,51,8,0
9,NA,8.3,51,9,0
9,NA,8.3,51,10,0
9,NA,8.3,51,11,0
9,NA,8.3,51,12,0
9,NA,8.3,51,13,0
10,NA,7.53,51,1,NA
10,NA,7.53,51,2,NA
10,NA,7.53,51,3,NA
10,NA,7.53,51,4,NA
10,NA,7.53,51,5,NA
10,NA,7.53,51,6,NA
10,NA,7.53,51,7,NA
10,NA,7.53,51,8,NA
10,NA,7.53,51,9,NA
10,NA,7.53,51,10,NA
10,NA,7.53,51,11,NA
10,NA,7.53,51,12,NA
10,NA,7.53,51,13,NA
11,NA,8.99,51,1,0
11,NA,8.99,51,2,0
11,NA,8.99,51,3,0
11,NA,8.99,51,4,0
11,NA,8.99,51,5,0
11,NA,8.99,51,6,0
11,NA,8.99,51,7,0
11,NA,8.99,51,8,0
11,NA,8.99,51,9,0
11,NA,8.99,51,10,0
11,NA,8.99,51,11,0
11,NA,8.99,51,12,0
11,NA,8.99,51,13,0
12,NA,13.55,62,1,690.474398
12,NA,13.55,62,2,0
12,NA,13.55,62,3,0
12,NA,13.55,62,4,328.4762563
12,NA,13.55,62,5,0
12,NA,13.55,62,6,0
12,NA,13.55,62,7,0
12,NA,13.55,62,8,0
