Experiment_Day,Frog Number,Treatment,Mass (g),Mortality,RichnessMean,RichnessSD,InvSimpMean,InvSimpSD,"Bd (0=absent, 1=present)"
1,7,1,0.18,alive,76.8,4.574854416,5.636894162,0.065978117,0
1,25,1,0.19,alive,103.48,5.814436926,5.708753046,0.065165081,0
1,20,1,0.2,alive,102.5,5.869799439,7.65823535,0.073412691,0
1,13,1,0.32,alive,60.57,4.34905075,3.387731647,0.044135864,0
1,59,1,0.26,alive,75.68,4.254243277,8.675283674,0.102947023,0
1,10,1,0.26,alive,91.68,5.713496338,5.47180501,0.061185448,0
1,14,1,0.3,alive,82.1,5.103969539,6.414582351,0.072595695,0
1,19,1,0.42,alive,62.4,4.62317395,7.196353969,0.063874659,0
1,45,1,0.52,alive,69.42,4.385881849,5.418227497,0.049157382,1
1,16,2,0.15,alive,57.33,4.696990225,4.153786982,0.04578193,0
1,28,2,0.2,alive,59.44,4.276598289,6.99146074,0.055429596,0
1,4,2,0.17,alive,60.71,4.224256554,5.573458969,0.063868285,0
1,51,2,0.24,alive,67.12,4.288297442,3.570090353,0.0404669,0
1,35,2,0.18,dead,57.26,5.098266689,4.552974889,0.048705502,1
1,9,2,0.22,alive,64.44,4.837396411,7.128721558,0.076405177,0
1,17,2,0.26,alive,71.45,4.353971831,5.364067416,0.064153595,0
1,66,2,0.31,alive,58.54,4.411692453,3.905502716,0.0421778,1
1,27,2,0.39,alive,53.21,3.880266054,3.512023053,0.028474425,0
1,43,2,0.58,alive,92.25,6.552623039,5.363301797,0.054193493,0
1,54,3,0.22,alive,,,,,0
1,116,3,0.25,alive,,,,,1
1,71,3,0.26,alive,55.12,4.969157399,2.697902535,0.033675453,0
1,100,3,0.28,alive,,,,,1
1,92,3,0.43,alive,,,,,1
1,93,3,0.49,alive,57.6,3.604150245,6.424436416,0.070041014,0
1,118,3,0.47,alive,,,,,0
1,105,3,0.53,alive,62.14,4.552765837,4.075472954,0.054838365,0
1,117,3,0.52,alive,66.69,5.4895585,4.946644311,0.070173438,0
1,86,3,,dead,,,,,0
1,69,3,,,,,,,0
1,96,4,0.26,alive,,,,,0
1,114,4,0.26,alive,62.09,4.566224265,3.538323781,0.048637131,0
1,120,4,0.23,alive,,,,,0
1,107,4,0.39,alive,,,,,0
1,58,4,0.43,alive,52.29,4.102955328,1.978314368,0.020522048,0
1,102,4,0.49,alive,130.09,6.042099775,5.447598703,0.07562159,0
1,101,4,0.46,alive,68.5,4.509249753,3.652780455,0.037696105,0
1,113,4,0.66,alive,,,,,0
1,31,5,0.25,alive,63.49,3.647318096,6.801782429,0.055727302,0
1,6,5,0.38,alive,,,,,0
1,34,5,0.39,alive,88.57,5.115346291,3.678747245,0.047457709,0
1,1,5,0.45,alive,57.89,4.75436004,3.784174417,0.044664138,0
1,37,5,0.31,alive,,,,,1
1,11,5,0.71,alive,,,,,1
1,32,5,0.51,alive,46.51,3.764520708,4.791867798,0.060329891,0
1,22,6,0.25,alive,60.96,4.317968097,4.015505487,0.045968144,0
1,52,6,0.32,alive,54.02,4.373889469,2.969557952,0.040202416,0
1,49,6,0.38,alive,,,,,1
1,12,6,0.26,alive,,,,,1
1,56,6,0.35,alive,77.13,5.23518593,4.855277965,0.061438533,0
1,70,6,0.36,alive,,,,,1
1,44,6,0.57,alive,,,,,0
1,40,6,0.65,alive,73.01,5.963686407,5.184422781,0.063375314,0
1,72,7,0.39,alive,,,,,1
1,106,7,0.27,alive,63.47,4.149857001,5.865785931,0.058975031,1
1,89,7,0.32,alive,,,,,1
1,97,7,0.33,alive,83.11,5.410231609,5.196892576,0.050549901,0
1,78,7,0.28,alive,,,,,1
1,90,7,0.46,alive,,,,,1
1,83,7,0.4,alive,77.33,4.855601784,3.443695834,0.044548725,0
1,104,7,0.43,alive,54.16,4.071879421,4.885200668,0.047384409,0
1,77,8,0.25,alive,,,,,0
1,95,8,0.39,alive,,,,,0
1,115,8,0.44,alive,82.49,6.923091211,5.202765868,0.049984893,0
1,82,8,0.45,alive,82.56,5.330150565,4.675659576,0.049228018,0
1,103,8,0.48,alive,,,,,0
1,109,8,0.62,alive,67.74,4.48481163,3.841263575,0.038336642,0
1,75,8,0.41,alive,59.43,4.399850778,7.734051875,0.077004641,0
1,5,9,0.15,alive,70.22,4.059108724,4.715566046,0.049216419,0
1,23,9,0.22,alive,54.71,4.477316566,6.143809823,0.06128738,0
1,26,9,0.26,alive,66.97,5.123633102,5.100896703,0.053455303,0
1,8,9,0.21,alive,,,,,0
1,33,9,0.26,alive,,,,,1
1,39,9,0.37,alive,,,,,1
1,63,9,0.37,alive,,,,,0
1,60,9,0.41,alive,,,,,0
1,46,9,0.55,alive,91.73,5.526529223,5.260981761,0.058726126,0
1,41,10,0.22,alive,67.7,4.852365871,4.083078194,0.043536586,0
1,36,10,0.24,alive,42.64,4.03399694,3.155424445,0.038510385,0
1,2,10,0.26,alive,52.82,4.797684627,6.620132968,0.058898095,0
1,3,10,0.21,alive,67.86,4.813742952,4.940952419,0.065099268,0
1,15,10,0.29,alive,50.93,4.05331888,5.868425753,0.077747849,0
1,62,10,0.31,alive,59.07,4.023303331,5.997467664,0.059825541,0
1,47,10,0.4,alive,72.52,4.92669496,6.072825361,0.064751469,0
1,48,10,0.46,alive,41.11,4.218513789,4.134760897,0.034532256,0
1,53,10,0.49,alive,50.49,4.482277109,3.819097168,0.04206868,1
1,42,10,0.62,alive,58.13,3.94828949,3.195993608,0.031539995,1
1,85,11,0.27,dead,,,,,1
1,74,11,0.35,alive,,,,,1
1,67,11,0.4,alive,,,,,0
1,94,11,0.43,alive,71.02,3.845448576,7.508774741,0.07100483,1
1,79,11,0.43,alive,81.85,5.236574947,5.496155497,0.060826118,0
1,68,11,0.44,alive,,,,,1
1,61,11,0.63,alive,53.5,4.544949467,5.586250214,0.057228423,1
1,84,11,0.68,alive,61.81,3.445667753,5.52847045,0.068618905,0
1,119,11,0.73,alive,,,,,1
1,99,12,0.2,alive,90.3,4.700096711,5.899294634,0.07381686,0
1,98,12,0.28,alive,63.73,4.378217432,2.954493953,0.039945812,0
1,110,12,0.4,alive,,,,,0
1,108,12,0.44,alive,75.76,5.390076928,4.4664772,0.052830534,0
1,112,12,0.42,alive,,,,,0
1,76,12,0.54,alive,,,,,0
1,111,12,0.41,alive,,,,,0
1,55,12,0.54,alive,49.25,4.374801583,4.943543297,0.054979494,0
10,10,1,,alive,,,,,
10,45,1,,alive,,,,,
10,59,1,,alive,,,,,
10,7,1,,alive,,,,,
10,13,1,,alive,,,,,
10,19,1,,alive,,,,,
10,14,1,,alive,,,,,
10,20,1,,alive,,,,,
10,25,1,,dead,,,,,
10,27,2,,alive,,,,,
10,16,2,,alive,,,,,
10,51,2,,alive,,,,,
10,66,2,,alive,,,,,
10,4,2,,alive,,,,,
10,9,2,,alive,,,,,
10,17,2,,alive,,,,,
10,35,2,,dead,,,,,
10,28,2,,dead,,,,,
10,117,3,,alive,,,,,
10,118,3,,alive,,,,,
10,93,3,,alive,,,,,
10,71,3,,alive,,,,,
10,54,3,,alive,,,,,
10,100,3,,alive,,,,,
10,105,3,,alive,,,,,
10,116,3,,alive,,,,,
10,92,3,,alive,,,,,
10,86,3,,dead,,,,,
10,113,4,,alive,,,,,
10,114,4,,alive,,,,,
10,101,4,,alive,,,,,
10,58,4,,alive,,,,,
10,102,4,,alive,,,,,
10,107,4,,alive,,,,,
10,120,4,,alive,,,,,
10,96,4,,dead,,,,,
10,34,5,0.35,dead,,,,,
10,11,5,,alive,,,,,
10,31,5,,alive,,,,,
10,1,5,,alive,,,,,
10,37,5,,alive,,,,,
10,6,5,,alive,,,,,
10,32,5,,alive,,,,,
10,52,6,,alive,,,,,
10,22,6,,alive,,,,,
10,40,6,,alive,,,,,
10,44,6,,alive,,,,,
10,12,6,,alive,,,,,
10,49,6,,alive,,,,,
10,56,6,,alive,,,,,
10,83,7,,alive,,,,,
10,89,7,,alive,,,,,
10,106,7,,alive,,,,,
10,72,7,,alive,,,,,
10,78,7,,alive,,,,,
10,104,7,,alive,,,,,
10,97,7,,alive,,,,,
10,90,7,,alive,,,,,
10,109,8,,alive,,,,,
10,77,8,,alive,,,,,
10,70,8,,alive,,,,,
10,75,8,,alive,,,,,
10,103,8,,alive,,,,,
10,95,8,,alive,,,,,
10,82,8,,alive,,,,,
10,115,8,,alive,,,,,
10,33,9,,alive,,,,,
10,33,9,,alive,,,,,
10,23,9,,alive,,,,,
10,46,9,,alive,,,,,
10,26,9,,alive,,,,,
10,39,9,,alive,,,,,
10,63,9,,alive,,,,,
10,60,9,,alive,,,,,
10,5,9,,dead,,,,,
10,2,10,,alive,,,,,
10,48,10,,alive,,,,,
10,36,10,,alive,,,,,
10,62,10,,alive,,,,,
10,3,10,,alive,,,,,
10,53,10,,alive,,,,,
10,47,10,,alive,,,,,
10,42,10,,alive,,,,,
10,15,10,,alive,,,,,
10,41,10,,dead,,,,,
10,74,11,,alive,,,,,
10,67,11,,alive,,,,,
10,61,11,,alive,,,,,
10,68,11,,alive,,,,,
10,119,11,,alive,,,,,
10,84,11,,alive,,,,,
10,79,11,,alive,,,,,
10,85,11,,dead,,,,,
10,94,11,,dead,,,,,
10,98,12,,alive,,,,,
10,112,12,,alive,,,,,
10,55,12,,alive,,,,,
10,99,12,,alive,,,,,
10,108,12,,alive,,,,,
10,76,12,,alive,,,,,
10,110,12,,alive,,,,,
10,111,12,,alive,,,,,
11,7,1,,alive,,,,,
11,13,1,,alive,,,,,
11,45,1,,alive,,,,,
11,59,1,,alive,,,,,
11,10,1,,alive,,,,,
11,19,1,,alive,,,,,
11,14,1,,alive,,,,,
11,20,1,,alive,,,,,
11,25,1,,dead,,,,,
11,16,2,0.11,dead,,,,,
11,43,2,,alive,,,,,
11,27,2,,alive,,,,,
11,51,2,,alive,,,,,
11,66,2,,alive,,,,,
11,4,2,,alive,,,,,
11,9,2,,alive,,,,,
11,17,2,,alive,,,,,
11,35,2,,dead,,,,,
11,28,2,,dead,,,,,
11,71,3,,alive,,,,,
11,105,3,,alive,,,,,
11,93,3,,alive,,,,,
11,54,3,,alive,,,,,
11,100,3,,alive,,,,,
11,116,3,,alive,,,,,
11,92,3,,alive,,,,,
11,117,3,,alive,,,,,
11,118,3,,alive,,,,,
11,86,3,,dead,,,,,
11,101,4,,alive,,,,,
11,58,4,,alive,,,,,
11,102,4,,alive,,,,,
11,107,4,,alive,,,,,
11,113,4,,alive,,,,,
11,114,4,,alive,,,,,
11,120,4,,alive,,,,,
11,96,4,,dead,,,,,
11,31,5,,alive,,,,,
11,32,5,,alive,,,,,
11,1,5,,alive,,,,,
11,11,5,,alive,,,,,
11,37,5,,alive,,,,,
11,6,5,,alive,,,,,
11,34,5,,dead,,,,,
11,44,6,,alive,,,,,
11,52,6,,alive,,,,,
11,12,6,,alive,,,,,
11,49,6,,alive,,,,,
11,22,6,,alive,,,,,
11,40,6,,alive,,,,,
11,56,6,,alive,,,,,
11,72,7,,alive,,,,,
11,83,7,,alive,,,,,
11,90,7,,alive,,,,,
11,89,7,,alive,,,,,
11,106,7,,alive,,,,,
11,78,7,,alive,,,,,
11,104,7,,alive,,,,,
11,97,7,,alive,,,,,
11,70,8,,alive,,,,,
11,103,8,,alive,,,,,
11,95,8,,alive,,,,,
11,115,8,,alive,,,,,
11,75,8,,alive,,,,,
11,109,8,,alive,,,,,
11,82,8,,alive,,,,,
11,77,8,,alive,,,,,
11,63,9,,alive,,,,,
11,60,9,,alive,,,,,
11,33,9,,alive,,,,,
11,23,9,,alive,,,,,
11,46,9,,alive,,,,,
11,26,9,,alive,,,,,
11,39,9,,alive,,,,,
11,5,9,,dead,,,,,
11,48,10,,alive,,,,,
11,36,10,,alive,,,,,
11,62,10,,alive,,,,,
11,3,10,,alive,,,,,
11,53,10,,alive,,,,,
11,47,10,,alive,,,,,
11,42,10,,alive,,,,,
11,2,10,,alive,,,,,
11,15,10,,alive,,,,,
11,41,10,,dead,,,,,
11,67,11,,alive,,,,,
11,61,11,,alive,,,,,
11,68,11,,alive,,,,,
11,119,11,,alive,,,,,
11,74,11,,alive,,,,,
11,84,11,,alive,,,,,
11,79,11,,alive,,,,,
11,85,11,,dead,,,,,
11,94,11,,dead,,,,,
11,98,12,,alive,,,,,
11,76,12,,alive,,,,,
11,55,12,,alive,,,,,
11,99,12,,alive,,,,,
11,108,12,,alive,,,,,
11,110,12,,alive,,,,,
11,112,12,,alive,,,,,
11,111,12,,alive,,,,,
12,13,1,,alive,,,,,
12,19,1,,alive,,,,,
12,20,1,,alive,,,,,
12,45,1,,alive,,,,,
12,59,1,,alive,,,,,
12,7,1,,alive,,,,,
12,10,1,,alive,,,,,
12,14,1,,alive,,,,,
12,25,1,,dead,,,,,
12,43,2,,alive,,,,,
12,51,2,,alive,,,,,
12,27,2,,alive,,,,,
12,66,2,,alive,,,,,
12,4,2,,alive,,,,,
12,9,2,,alive,,,,,
12,17,2,,alive,,,,,
12,35,2,,dead,,,,,
12,28,2,,dead,,,,,
12,16,2,,dead,,,,,
12,116,3,,alive,,,,,
12,93,3,,alive,,,,,
12,71,3,,alive,,,,,
12,54,3,,alive,,,,,
12,100,3,,alive,,,,,
12,105,3,,alive,,,,,
12,92,3,,alive,,,,,
12,117,3,,alive,,,,,
12,118,3,,alive,,,,,
12,86,3,,dead,,,,,
12,114,4,,alive,,,,,
12,101,4,,alive,,,,,
12,58,4,,alive,,,,,
12,102,4,,alive,,,,,
12,107,4,,alive,,,,,
12,113,4,,alive,,,,,
12,120,4,,alive,,,,,
12,96,4,,dead,,,,,
12,1,5,,alive,,,,,
12,32,5,,alive,,,,,
12,11,5,,alive,,,,,
12,31,5,,alive,,,,,
12,37,5,,alive,,,,,
12,6,5,,alive,,,,,
12,34,5,,dead,,,,,
12,44,6,,alive,,,,,
12,56,6,,alive,,,,,
12,12,6,,alive,,,,,
12,49,6,,alive,,,,,
12,52,6,,alive,,,,,
12,22,6,,alive,,,,,
12,40,6,,alive,,,,,
12,106,7,,alive,,,,,
12,72,7,,alive,,,,,
12,78,7,,alive,,,,,
12,104,7,,alive,,,,,
12,83,7,,alive,,,,,
12,97,7,,alive,,,,,
12,90,7,,alive,,,,,
12,89,7,,alive,,,,,
12,82,8,,alive,,,,,
12,70,8,,alive,,,,,
12,75,8,,alive,,,,,
12,103,8,,alive,,,,,
12,95,8,,alive,,,,,
12,109,8,,alive,,,,,
12,115,8,,alive,,,,,
12,77,8,,alive,,,,,
12,26,9,,alive,,,,,
12,60,9,,alive,,,,,
12,33,9,,alive,,,,,
12,23,9,,alive,,,,,
12,46,9,,alive,,,,,
12,39,9,,alive,,,,,
12,63,9,,alive,,,,,
12,5,9,,dead,,,,,
12,48,10,,alive,,,,,
12,36,10,,alive,,,,,
12,62,10,,alive,,,,,
12,3,10,,alive,,,,,
12,53,10,,alive,,,,,
12,47,10,,alive,,,,,
12,42,10,,alive,,,,,
12,2,10,,alive,,,,,
12,15,10,,alive,,,,,
12,41,10,,dead,,,,,
12,67,11,,alive,,,,,
12,61,11,,alive,,,,,
12,68,11,,alive,,,,,
12,119,11,,alive,,,,,
12,74,11,,alive,,,,,
12,84,11,,alive,,,,,
12,79,11,,alive,,,,,
12,85,11,,dead,,,,,
12,94,11,,dead,,,,,
12,99,12,,alive,,,,,
12,98,12,,alive,,,,,
12,76,12,,alive,,,,,
12,55,12,,alive,,,,,
12,108,12,,alive,,,,,
12,110,12,,alive,,,,,
12,112,12,,alive,,,,,
12,111,12,,alive,,,,,
13,59,1,,alive,,,,,
13,13,1,,alive,,,,,
13,45,1,,alive,,,,,
13,7,1,,alive,,,,,
13,10,1,,alive,,,,,
13,19,1,,alive,,,,,
13,14,1,,alive,,,,,
13,20,1,,alive,,,,,
13,25,1,,dead,,,,,
13,43,2,,alive,,,,,
13,27,2,,alive,,,,,
13,51,2,,alive,,,,,
13,66,2,,alive,,,,,
13,4,2,,alive,,,,,
13,9,2,,alive,,,,,
13,17,2,,alive,,,,,
13,35,2,,dead,,,,,
13,28,2,,dead,,,,,
13,16,2,,dead,,,,,
13,105,3,,alive,,,,,
13,93,3,,alive,,,,,
13,71,3,,alive,,,,,
13,54,3,,alive,,,,,
13,100,3,,alive,,,,,
13,116,3,,alive,,,,,
13,92,3,,alive,,,,,
13,117,3,,alive,,,,,
13,118,3,,alive,,,,,
13,86,3,,dead,,,,,
13,102,4,,alive,,,,,
13,101,4,,alive,,,,,
13,58,4,,alive,,,,,
13,107,4,,alive,,,,,
13,113,4,,alive,,,,,
13,114,4,,alive,,,,,
13,120,4,,alive,,,,,
13,96,4,,dead,,,,,
13,1,5,,alive,,,,,
13,11,5,,alive,,,,,
13,31,5,,alive,,,,,
13,37,5,,alive,,,,,
13,6,5,,alive,,,,,
13,32,5,,alive,,,,,
13,34,5,,dead,,,,,
13,44,6,,alive,,,,,
13,12,6,,alive,,,,,
13,49,6,,alive,,,,,
13,52,6,,alive,,,,,
13,22,6,,alive,,,,,
13,40,6,,alive,,,,,
13,56,6,,alive,,,,,
13,106,7,,alive,,,,,
13,72,7,,alive,,,,,
13,78,7,,alive,,,,,
13,104,7,,alive,,,,,
13,83,7,,alive,,,,,
